Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,30,A.J. Jenkins,WR,2012,0,0,0,0,3,,,,,,,,,,,,,,Illinois
2012,2,61,LaMichael James,RB,2012,0,0,0,1,4,,,,,,27,125,0,3,29,0,,,Oregon
2012,4,117,Joe Looney,G,2012,0,0,0,0,,,,,,,,,,,,,,,Wake Forest
2012,5,165,Darius Fleming,OLB,2012,0,0,0,0,,,,,,,,,,,,,,,Notre Dame
2012,6,180,Trent Robinson,FS,,0,0,0,,,,,,,,,,,,,,,,Michigan St.
2012,6,199,Jason Slowey,C,2012,0,0,0,0,,,,,,,,,,,,,,,Western Oregon
2012,7,237,Cam Johnson,DE,2012,0,0,0,0,2,,,,,,,,,,,,,,Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,7,Aldon Smith,DE,2012,1,1,1,18,32,,,,,,,,,,,,1,33.5,Missouri
2011,2,36,Colin Kaepernick,QB,2012,0,0,0,9,16,139,223,1849,10,3,65,413,5,,,,,,Nevada-Reno
2011,3,80,Chris Culliver,DB,2012,0,0,0,4,32,,,,,,,,,,,,3,,South Carolina
2011,4,115,Kendall Hunter,RB,2012,0,0,0,8,27,0,0,0,0,0,184,844,4,25,255,0,,,Oklahoma St.
2011,5,163,Daniel Kilgore,OL,2012,0,0,0,1,17,,,,,,,,,,,,,,Appalachian St.
2011,6,182,Ronald Johnson,WR,2012,0,0,0,0,0,,,,,,,,,,,,,,USC
2011,6,190,Colin Jones,DB,2012,0,0,0,2,28,,,,,,,,,,,,,,TCU
2011,7,211,Bruce Miller,DL,2012,0,0,1,5,31,,,,,,9,26,0,23,167,1,,,Central Florida
2011,7,239,Michael Person,OL,,0,0,0,,,,,,,,,,,,,,,,Montana St.
2011,7,250,Curtis Holcomb,DB,2012,0,0,0,0,0,,,,,,,,,,,,,,Florida A&M
