Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,17,Dre Kirkpatrick,CB,2012,0,0,0,0,5,,,,,,,,,,,,,,Alabama
2012,1,27,Kevin Zeitler,G,2012,0,0,1,7,16,,,,,,,,,,,,,,Wisconsin
2012,2,53,Devon Still,DT,2012,0,0,0,1,8,,,,,,,,,,,,,0.5,Penn St.
2012,3,83,Mohamed Sanu,WR,2012,0,0,0,2,8,1,1,73,1,0,5,15,0,16,154,4,,,Rutgers
2012,3,93,Brandon Thompson,DT,2012,0,0,0,0,3,,,,,,,,,,,,,,Clemson
2012,4,116,Orson Charles,TE,2012,0,0,0,3,16,,,,,,,,,8,101,0,,,Georgia
2012,5,156,Shaun Prater,CB,2012,0,0,0,0,,,,,,,,,,,,,,,Iowa
2012,5,166,Marvin Jones,WR,2012,0,0,0,2,11,,,,,,3,47,0,18,201,1,,,California
2012,5,167,George Iloka,FS,2012,0,0,0,1,7,,,,,,,,,,,,,,Boise St.
2012,6,191,Dan Herron,RB,2012,0,0,0,0,3,,,,,,4,5,0,,,,,,Ohio St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,4,A.J. Green,WR,2012,0,2,2,22,31,,,,,,9,91,0,162,2407,18,,,Georgia
2011,2,35,Andy Dalton,QB,2012,0,1,2,23,32,629,1044,7067,47,29,84,272,5,,,,,,TCU
2011,3,66,Dontay Moch,DL,2012,0,0,0,0,1,,,,,,,,,,,,,,Nevada-Reno
2011,4,101,Clint Boling,OL,2012,0,0,1,8,21,,,,,,,,,,,,,,Georgia
2011,5,134,Robert Sands,FS,2012,0,0,0,0,1,,,,,,,,,,,,,,West Virginia
2011,6,167,Ryan Whalen,WR,2012,0,0,0,1,13,,,,,,,,,11,80,0,,,Stanford
2011,7,207,Korey Lindsey,CB,2012,0,0,0,0,0,,,,,,,,,,,,,,Southern Illinois
2011,7,246,Jay Finley,RB,2011,0,0,0,0,0,,,,,,,,,,,,,,Baylor
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,21,Jermaine Gresham,TE,2012,0,2,3,20,45,,,,,,,,,172,1804,15,,,Oklahoma
2010,2,54,Carlos Dunlap,DE,2012,0,0,0,10,38,,,,,,,,,,,,1,20.0,Florida
2010,3,84,Jordan Shipley,WR,2012,0,0,0,9,23,,,,,,,,,79,858,4,,,Texas
2010,3,96,Brandon Ghee,DB,2012,0,0,0,1,13,,,,,,,,,,,,,,Wake Forest
2010,4,120,Geno Atkins,DT,2012,1,2,2,33,48,,,,,,,,,,,,,23.0,Georgia
2010,4,131,Roddrick Muckelroy,LB,2012,0,0,0,1,19,,,,,,,,,,,,,,Texas
2010,5,152,Otis Hudson,T,2012,0,0,0,0,0,,,,,,,,,,,,,,East. Illinois
2010,6,191,Dezmon Briscoe,WR,2012,0,0,0,4,24,,,,,,1,1,0,43,502,7,,,Kansas
2010,7,228,Reggie Stephens,C,2012,0,0,0,0,0,,,,,,,,,,,,,,Iowa St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,6,Andre Smith,T,2012,0,0,2,15,43,,,,,,,,,,,,,,Alabama
2009,2,38,Rey Maualuga,LB,2012,0,0,4,27,60,,,,,,,,,,,,3,3.0,USC
2009,3,70,Michael Johnson,DE,2012,0,0,2,21,64,,,,,,,,,,,,2,23.0,Georgia Tech
2009,3,98,Chase Coffman,TE,2012,0,0,0,2,11,,,,,,,,,4,41,0,,,Missouri
2009,4,106,Jonathan Luigs,C,2009,0,0,0,0,8,,,,,,,,,,,,,,Arkansas
2009,5,142,Kevin Huber,P,2012,0,0,2,0,64,,,,,,2,-1,0,,,,,,Cincinnati
2009,6,179,Morgan Trent,DB,2011,0,0,0,6,36,,,,,,,,,,,,3,1.0,Michigan
2009,6,209,Bernard Scott,RB,2012,0,0,0,9,47,0,1,0,0,0,255,1035,4,29,165,0,,,Abilene Christian
2009,7,215,Fui Vakapuna,RB,,0,0,0,,,,,,,,,,,,,,,,BYU
2009,7,249,Clinton McDonald,DT,2012,0,0,0,6,37,,,,,,,,,,,,,,Memphis
2009,7,252,Freddie Brown,WR,,0,0,0,,,,,,,,,,,,,,,,Utah
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,9,Keith Rivers,LB,2012,0,0,2,18,46,,,,,,,,,,,,2,2.0,USC
2008,2,46,Jerome Simpson,WR,2012,0,0,2,11,41,,,,,,1,2,0,97,1278,7,,,Coastal Carolina
2008,3,77,Pat Sims,DT,2012,0,0,1,15,60,,,,,,,,,,,,1,5.0,Auburn
2008,3,97,Andre Caldwell,WR,2012,0,0,0,10,59,,,,,,10,87,0,125,1190,6,,,Florida
2008,4,112,Anthony Collins,T,2012,0,0,0,8,42,,,,,,,,,,,,,,Kansas
2008,5,145,Jason Shirley,DT,2011,0,0,0,0,7,,,,,,,,,,,,,2.5,Fresno St.
2008,6,177,Corey Lynch,DB,2012,0,0,0,8,68,,,,,,,,,,,,5,,Appalachian St.
2008,6,207,Matt Sherry,TE,,0,0,0,,,,,,,,,,,,,,,,Villanova
2008,7,244,Angelo Craig,LB,,0,0,0,,,,,,,,,,,,,,,,Cincinnati
2008,7,246,Mario Urrutia,WR,,0,0,0,,,,,,,,,,,,,,,,Louisville
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,18,Leon Hall,DB,2012,0,0,5,43,87,,,,,,,,,,,,22,,Michigan
2007,2,49,Kenny Irons,RB,,0,0,0,,,,,,,,,,,,,,,,Auburn
2007,4,114,Marvin White,DB,2010,0,0,2,10,43,,,,,,,,,,,,1,,TCU
2007,5,151,Jeff Rowe,QB,2007,0,0,0,0,1,,,,,,,,,,,,,,Nevada-Reno
2007,6,188,Matt Toeaina,DT,2012,0,0,1,12,37,,,,,,,,,,,,,2.0,Oregon
2007,7,230,Dan Santucci,G,2007,0,0,0,0,2,,,,,,,,,,,,,,Notre Dame
2007,7,253,Nedu Ndukwe,DB,2011,0,0,2,14,55,,,,,,,,,,,,7,7.5,Notre Dame
