Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,10,Stephon Gilmore,CB,2012,0,0,1,4,16,,,,,,,,,,,,1,,South Carolina
2012,2,41,Cordy Glenn,T,2012,0,0,1,6,14,,,,,,,,,,,,,,Georgia
2012,3,69,T.J. Graham,WR,2012,0,0,1,3,15,,,,,,1,5,0,31,322,1,,,North Carolina St.
2012,4,105,Nigel Bradham,OLB,2012,0,0,1,5,16,,,,,,,,,,,,,,Florida St.
2012,4,124,Ron Brooks,CB,2012,0,0,0,1,9,,,,,,,,,,,,,,LSU
2012,5,144,Zebrie Sanders,T,2012,0,0,0,0,,,,,,,,,,,,,,,Florida St.
2012,5,147,Tank Carder,ILB,2012,0,0,0,1,15,,,,,,,,,,,,,,TCU
2012,6,178,Mark Asper,G,2012,0,0,0,0,1,,,,,,,,,,,,,,Oregon
2012,7,251,John Potter,K,2012,0,0,0,0,6,,,,,,,,,,,,,,
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,3,Marcell Dareus,DT,2012,0,0,2,14,32,,,,,,,,,,,,,11.0,Alabama
2011,2,34,Aaron Williams,DB,2012,0,0,1,5,20,,,,,,,,,,,,1,,North Texas
2011,3,68,Kelvin Sheppard,LB,2012,0,0,2,10,32,,,,,,,,,,,,,2.0,LSU
2011,4,100,Da'Norris Searcy,DB,2012,0,0,0,3,31,,,,,,,,,,,,1,,North Carolina
2011,4,122,Chris Hairston,OL,2012,0,0,0,8,25,,,,,,,,,,,,,,Clemson
2011,5,133,Johnny White,RB,2012,0,0,0,0,15,,,,,,20,72,0,1,-3,0,,,North Carolina
2011,6,169,Chris White,LB,2012,0,0,0,1,21,,,,,,,,,,,,,,Mississippi St.
2011,7,206,Justin Rogers,DB,2012,0,0,0,2,29,,,,,,,,,,,,2,,Richmond
2011,7,245,Michael Jasper,DT,2011,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,9,C.J. Spiller,RB,2012,0,0,1,21,46,,,,,,388,2088,10,106,885,5,,,Clemson
2010,2,41,Torell Troup,DT,2012,0,0,0,2,15,,,,,,,,,,,,,,Central Florida
2010,3,72,Alex Carrington,DE,2012,0,0,0,5,40,,,,,,,,,,,,,4.0,Arkansas St.
2010,4,107,Marcus Easley,WR,2012,0,0,0,0,3,,,,,,,,,,,,,,Connecticut
2010,5,140,Ed Wang,T,2010,0,0,0,0,6,,,,,,,,,,,,,,Virginia Tech
2010,6,178,Arthur Moats,LB,2012,0,0,0,5,43,,,,,,,,,,,,,5.0,James Madison
2010,6,192,Danny Batten,DE,2011,0,0,0,2,16,,,,,,,,,,,,,0.5,South Dakota St.
2010,7,209,Levi Brown,QB,2010,0,0,0,0,1,2,3,24,0,1,,,,,,,,,Troy
2010,7,216,Kyle Calloway,T,,0,0,0,,,,,,,,,,,,,,,,Iowa
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,11,Aaron Maybin,DE,2012,0,0,0,6,47,,,,,,,,,,,,,6.0,Penn St.
2009,1,28,Eric Wood,C,2012,0,0,4,17,47,,,,,,,,,,,,,,Louisville
2009,2,42,Jairus Byrd,DB,2012,0,1,4,29,62,,,,,,,,,,,,18,2.0,Oregon
2009,2,51,Andy Levitre,G,2012,0,0,4,24,64,,,,,,,,,,,,,,Oregon St.
2009,4,121,Shawn Nelson,TE,2010,0,0,1,3,17,,,,,,,,,20,181,1,,,Southern Miss
2009,5,147,Nic Harris,LB,2010,0,0,0,3,15,,,,,,,,,,,,,1.5,Oklahoma
2009,6,183,Cary Harris,DB,2010,0,0,0,1,6,,,,,,,,,,,,2,,USC
2009,7,220,Ellis Lankster,DB,2012,0,0,0,4,32,,,,,,,,,,,,2,1.0,West Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,11,Leodis McKelvin,DB,2012,0,0,1,18,64,,,,,,,,,,,,6,,Troy
2008,2,41,James Hardy,WR,2009,0,0,0,1,16,,,,,,,,,10,96,2,,,Indiana
2008,3,72,Chris Ellis,DE,2010,0,0,0,3,15,,,,,,,,,,,,,1.0,Virginia Tech
2008,4,114,Reggie Corner,DB,2011,0,0,0,8,55,,,,,,,,,,,,2,1.0,Akron
2008,4,132,Derek Fine,TE,2009,0,0,0,3,18,,,,,,,,,19,158,1,,,Kansas
2008,5,147,Alvin Bowen,LB,2010,0,0,0,0,2,,,,,,,,,,,,,,Iowa St.
2008,6,179,Xavier Omon,RB,2011,0,0,0,0,7,,,,,,11,27,0,,,,,,NW Missouri St.
