Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,2,36,Derek Wolfe,DT,2012,0,0,1,8,16,,,,,,,,,,,,,6.0,Cincinnati
2012,2,57,Brock Osweiler,QB,2012,0,0,0,0,5,2,4,12,0,0,8,-13,0,,,,,,Arizona St.
2012,3,67,Ronnie Hillman,RB,2012,0,0,0,3,14,,,,,,84,327,1,10,62,0,,,San Diego St.
2012,4,101,Omar Bolden,CB,2012,0,0,0,1,16,,,,,,,,,,,,,,Arizona St.
2012,4,108,Philip Blake,C,2012,0,0,0,0,,,,,,,,,,,,,,,Baylor
2012,5,137,Malik Jackson,DT,2012,0,0,0,1,14,,,,,,,,,,,,,,Tennessee
2012,6,188,Danny Trevathan,OLB,2012,0,0,0,2,16,,,,,,,,,,,,,1.0,Kentucky
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,2,Von Miller,LB,2012,1,2,2,28,31,,,,,,,,,,,,1,30.0,Texas A&M
2011,2,45,Rahim Moore,FS,2012,0,0,1,9,31,,,,,,,,,,,,2,1.0,UCLA
2011,2,46,Orlando Franklin,OL,2012,0,0,2,14,32,,,,,,,,,,,,,,Miami (FL)
2011,3,67,Nate Irving,LB,2012,0,0,0,2,31,,,,,,,,,,,,,,North Carolina St.
2011,4,108,Quinton Carter,DB,2012,0,0,1,4,19,,,,,,,,,,,,,1.0,Central Oklahoma
2011,4,129,Julius Thomas,TE,2012,0,0,0,0,9,,,,,,,,,1,5,0,,,Portland St.
2011,6,189,Mike Mohamed,LB,2012,0,0,0,0,3,,,,,,,,,,,,,,California
