Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,3,Trent Richardson,RB,2012,0,0,1,6,15,,,,,,267,950,11,51,367,1,,,Alabama
2012,1,22,Brandon Weeden,QB,2012,0,0,1,8,15,297,517,3385,14,17,27,111,0,,,,,,Oklahoma St.
2012,2,37,Mitchell Schwartz,T,2012,0,0,1,6,16,,,,,,,,,,,,,,California
2012,3,87,John Hughes,DT,2012,0,0,0,3,16,,,,,,,,,,,,,3.0,Cincinnati
2012,4,100,Travis Benjamin,WR,2012,0,0,0,3,14,,,,,,6,66,0,18,298,2,,,Miami (FL)
2012,4,120,James-Michael Johnson,ILB,2012,0,0,0,4,11,,,,,,,,,,,,,,
2012,5,160,Ryan Miller,G,2012,0,0,0,0,6,,,,,,,,,,,,,,Colorado
2012,6,204,Emmanuel Acho,OLB,2012,0,0,0,0,,,,,,,,,,,,,,,Texas
2012,6,205,Billy Winn,DT,2012,0,0,1,6,16,,,,,,,,,,,,1,1.0,Boise St.
2012,7,245,Trevin Wade,CB,2012,0,0,0,1,11,,,,,,,,,,,,,,Arizona
2012,7,247,Brad Smelley,TE,2012,0,0,0,0,2,,,,,,,,,1,3,0,,,Alabama
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,21,Phil Taylor,DL,2012,0,0,1,12,24,,,,,,,,,,,,,5.0,Baylor
2011,2,37,Jabaal Sheard,DL,2012,0,0,2,17,32,,,,,,,,,,,,,15.5,Pittsburgh
2011,2,59,Greg Little,WR,2012,0,0,2,10,32,,,,,,5,30,0,114,1356,6,,,North Carolina
2011,4,102,Jordan Cameron,TE,2012,0,0,0,4,22,,,,,,,,,26,259,1,,,USC
2011,4,124,Owen Marecic,RB,2012,0,0,0,2,24,,,,,,4,8,0,5,31,0,,,Stanford
2011,5,137,Buster Skrine,DB,2012,0,0,0,5,32,,,,,,,,,,,,1,,Tenn-Chattanooga
2011,5,150,Jason Pinkston,OL,2012,0,0,1,7,22,,,,,,,,,,,,,,Pittsburgh
2011,7,248,Eric Hagg,DB,2012,0,0,0,3,21,,,,,,,,,,,,,,Nebraska
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
