Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,7,Mark Barron,SS,2012,0,0,1,6,16,,,,,,,,,,,,1,,Alabama
2012,1,31,Doug Martin,RB,2012,0,0,1,14,16,,,,,,319,1454,11,49,472,1,,,Boise St.
2012,2,58,Lavonte David,OLB,2012,0,0,1,9,16,,,,,,,,,,,,1,2.0,Nebraska
2012,5,140,Najee Goode,ILB,2012,0,0,0,0,3,,,,,,,,,,,,,,West Virginia
2012,6,174,Keith Tandy,CB,2012,0,0,0,1,9,,,,,,1,18,0,,,,,,West Virginia
2012,7,212,Michael Smith,RB,2012,0,0,0,0,1,,,,,,,,,,,,,,Utah St.
2012,7,233,Drake Dunsmore,TE,2012,0,0,0,0,,,,,,,,,,,,,,,Northwestern
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,20,Adrian Clayborn,DL,2012,0,0,1,6,19,,,,,,,,,,,,,7.5,Iowa
2011,2,51,Da'Quan Bowers,DE,2012,0,0,0,4,26,,,,,,,,,,,,,4.5,Clemson
2011,3,84,Mason Foster,LB,2012,0,0,2,14,32,,,,,,,,,,,,2,4.0,Central Washington
2011,4,104,Luke Stocker,TE,2012,0,0,2,5,30,,,,,,,,,28,257,1,,,East Tennessee St.
2011,5,151,Ahmad Black,SS,2012,0,0,0,2,20,,,,,,,,,,,,2,,Central Florida
2011,6,187,Allen Bradford,RB,2012,0,0,0,0,2,,,,,,5,13,0,,,,,,USC
2011,7,222,Anthony Gaitor,DB,2012,0,0,0,1,12,,,,,,,,,,,,,,Florida International
2011,7,238,Daniel Hardy,TE,2011,0,0,0,0,0,,,,,,,,,,,,,,Col. of Idaho
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,3,Gerald McCoy,DT,2012,0,1,2,18,35,,,,,,,,,,,,,9.0,Oklahoma
2010,2,35,Brian Price,DT,2012,0,0,1,4,20,,,,,,,,,,,,,3.0,UCLA
2010,2,39,Arrelious Benn,WR,2012,0,0,2,7,37,,,,,,15,44,0,59,862,5,,,Illinois
2010,3,67,Myron Lewis,DB,2012,0,0,0,2,29,,,,,,,,,,,,,,Vanderbilt
2010,4,101,Mike Williams,WR,2012,0,0,3,23,48,1,1,28,0,0,1,3,0,193,2731,23,,,Syracuse
2010,6,172,Brent Bowden,P,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
2010,7,210,Cody Grimm,DB,2012,0,0,1,7,23,,,,,,,,,,,,2,,Virginia Tech
2010,7,217,Dekoda Watson,LB,2012,0,0,0,6,45,,,,,,,,,,,,,1.0,Florida St.
2010,7,253,Erik Lorig,DE,2012,0,0,0,5,40,,,,,,,,,19,146,1,,,Stanford
