Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,13,Michael Floyd,WR,2012,0,0,0,3,16,,,,,,,,,45,562,2,,,Notre Dame
2012,3,80,Jamell Fleming,CB,2012,0,0,0,2,14,,,,,,,,,,,,,,Oklahoma
2012,4,112,Bobby Massie,T,2012,0,0,1,4,16,,,,,,,,,,,,,,Mississippi
2012,5,151,Senio Kelemete,T,2012,0,0,0,0,2,,,,,,,,,1,10,0,,,Washington
2012,6,177,Justin Bethel,CB,2012,0,0,0,1,15,,,,,,,,,,,,,,Presbyterian
2012,6,185,Ryan Lindley,QB,2012,0,0,0,-4,7,89,171,752,0,7,4,7,0,,,,,,San Diego St.
2012,7,221,Nate Potter,T,2012,0,0,0,2,8,,,,,,,,,,,,,,Boise St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,5,Patrick Peterson,CB,2012,1,2,2,33,32,,,,,,3,13,0,4,10,0,9,1.0,LSU
2011,2,38,Ryan Williams,RB,2012,0,0,0,1,5,,,,,,58,164,0,7,44,0,,,Virginia Tech
2011,3,69,Robert Housler,TE,,0,0,0,,,,,,,,,,,,,,,,Florida Atlantic
2011,4,103,Sam Acho,OLB,2012,0,0,2,15,32,,,,,,,,,,,,2,11.0,North Texas
2011,5,136,Anthony Sherman,RB,2012,0,0,0,3,29,,,,,,1,3,0,13,111,0,,,Central Connecticut St.
2011,6,171,Quan Sturdivant,LB,2012,0,0,0,0,0,,,,,,,,,,,,,,North Carolina
2011,6,184,David Carter,DT,2012,0,0,0,5,32,,,,,,,,,,,,,1.0,UCLA
2011,7,249,Demarco Sampson,WR,2011,0,0,0,0,12,,,,,,,,,3,36,0,,,San Diego St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,26,Dan Williams,DT,2012,0,0,1,14,40,,,,,,,,,,,,,,Tennessee
2010,2,47,Daryl Washington,LB,2012,0,0,3,30,47,,,,,,,,,,,,4,15.0,TCU
2010,3,88,Andre Roberts,WR,2012,0,0,2,11,46,,,,,,7,56,0,139,1652,9,,,Citadel
2010,4,130,O'Brien Schofield,DE,2012,0,0,1,8,35,,,,,,,,,,,,,10.5,Wisconsin
2010,5,155,John Skelton,QB,2012,0,0,0,5,20,320,602,3707,15,25,42,182,0,,,,,,Fordham
2010,6,201,Jorrick Calvin,DB,2010,0,0,0,0,12,,,,,,,,,,,,,,Troy
2010,7,233,Jim Dray,TE,2012,0,0,0,3,39,,,,,,,,,7,87,0,,,Stanford
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,31,Chris Wells,RB,2012,0,0,1,14,51,,,,,,625,2471,24,28,293,0,,,Ohio St.
2009,2,63,Cody Brown,LB,,0,0,0,,,,,,,,,,,,,,,,Connecticut
2009,3,95,Rashad Johnson,DB,2012,0,0,1,9,57,,,,,,2,64,0,,,,3,,Alabama
2009,4,131,Gregory Toler,DB,2012,0,0,1,8,39,,,,,,,,,,,,5,1.0,St. Paul's
2009,5,167,Herman Johnson,T,,0,0,0,,,,,,,,,,,,,,,,LSU
2009,6,204,Will Davis,DE,2010,0,0,0,3,21,,,,,,,,,,,,,3.0,Illinois
2009,7,240,LaRod Stephens-Howling,RB,2012,0,0,0,9,57,,,,,,183,652,5,56,534,3,,,Pittsburgh
2009,7,254,Trevor Canfield,G,,0,0,0,,,,,,,,,,,,,,,,Cincinnati
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,16,Dominique Rodgers-Cromartie,DB,2012,0,1,3,25,77,,,,,,,,,,,,16,1.0,Tennessee St.
2008,2,50,Calais Campbell,DE,2012,0,0,4,31,76,,,,,,,,,,,,1,27.5,Miami (FL)
2008,3,81,Early Doucet,WR,2012,0,0,0,11,54,,,,,,4,14,0,139,1491,7,,,LSU
2008,4,116,Kenny Iwebema,DE,2010,0,0,0,2,31,,,,,,,,,,,,,2.0,Iowa
2008,5,149,Tim Hightower,RB,2011,0,0,2,19,53,,,,,,523,2054,24,128,879,1,,,Richmond
2008,6,185,Chris Harrington,DE,2009,0,0,0,0,6,,,,,,,,,,,,,,Texas A&M
2008,7,225,Brandon Keith,T,2011,0,0,2,6,26,,,,,,,,,,,,,,Northern Iowa
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,5,Levi Brown,T,2012,0,0,5,29,77,,,,,,,,,1,4,0,,,Penn St.
2007,2,33,Alan Branch,DT,2012,0,0,2,22,78,,,,,,,,,,,,,8.0,Michigan
2007,3,69,Buster Davis,LB,2008,0,0,0,2,7,,,,,,,,,,,,,,Florida St.
2007,5,142,Steve Breaston,WR,2012,0,0,3,26,86,1,2,17,0,0,10,120,0,255,3387,9,,,Michigan
2007,7,215,Ben Patrick,TE,2010,0,0,1,7,42,,,,,,,,,45,446,4,,,Delaware
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,10,Matt Leinart,QB,2012,0,0,1,12,33,366,641,4065,15,21,47,89,2,,,,,,USC
2006,2,41,Deuce Lutui,G,2012,0,0,5,29,101,,,,,,,,,,,,,,USC
2006,3,72,Leonard Pope,TE,2012,0,0,4,15,103,,,,,,,,,105,982,11,,,Georgia
2006,4,107,Gabe Watson,DT,2010,0,0,1,11,62,,,,,,,,,,,,,2.0,Michigan
2006,5,142,Brandon Johnson,LB,2012,0,0,1,13,87,,,,,,,,,,,,3,3.5,Louisville
