Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,18,Melvin Ingram,DE,2012,0,0,0,2,16,,,,,,,,,,,,,1.0,South Carolina
2012,2,49,Kendall Reyes,DT,2012,0,0,0,3,16,,,,,,,,,,,,,5.5,Connecticut
2012,3,73,Brandon Taylor,SS,2012,0,0,0,1,4,,,,,,,,,,,,,0.5,LSU
2012,4,110,Ladarius Green,TE,2012,0,0,0,1,3,,,,,,,,,4,56,0,,,
2012,5,149,Johnnie Troutman,G,2012,0,0,0,0,,,,,,,,,,,,,,,Penn St.
2012,7,226,David Molk,C,2012,0,0,0,1,12,,,,,,,,,,,,,,Michigan
2012,7,250,Edwin Baker,RB,2012,0,0,0,0,,,,,,,,,,,,,,,Michigan St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,18,Corey Liuget,DT,2012,0,0,2,13,31,,,,,,,,,,,,,8.0,East. Illinois
2011,2,50,Marcus Gilchrist,DB,2012,0,0,0,4,30,,,,,,,,,,,,2,1.0,Clemson
2011,2,61,Jonas Mouton,LB,2012,0,0,0,0,3,,,,,,,,,,,,,,Central Michigan
2011,3,82,Vincent Brown,WR,2012,0,0,0,3,14,,,,,,,,,19,329,2,,,San Diego St.
2011,3,89,Shareece Wright,DB,2012,0,0,0,1,17,,,,,,,,,,,,,,USC
2011,6,183,Jordan Todman,RB,2012,0,0,0,0,1,,,,,,3,8,0,1,0,0,,,Central Connecticut St.
2011,6,201,Stephen Schilling,OL,2012,0,0,0,2,11,,,,,,,,,,,,,,Central Michigan
2011,7,234,Andrew Gachkar,OLB,2012,0,0,0,2,32,,,,,,,,,,,,,1.0,Central Missouri St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,12,Ryan Mathews,RB,2012,0,1,3,25,38,,,,,,564,2476,14,111,852,0,,,Fresno St.
2010,3,79,Donald Butler,LB,2012,0,0,2,13,28,,,,,,,,,,,,2,5.0,Washington
2010,4,110,Darrell Stuckey,DB,2012,0,0,0,2,27,,,,,,,,,,,,,,Kansas
2010,5,146,Cam Thomas,DT,2012,0,0,0,5,37,,,,,,,,,,,,,6.0,North Carolina
2010,5,168,Jonathan Crompton,QB,2011,0,0,0,0,0,,,,,,,,,,,,,,Tennessee
2010,7,235,Dedrick Epps,TE,2012,0,0,0,0,6,,,,,,,,,1,9,0,,,Miami (FL)
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,16,Larry English,LB,2012,0,0,0,5,43,,,,,,,,,,,,,8.5,Northern Illinois
2009,3,78,Louis Vasquez,G,2012,0,0,4,25,54,,,,,,,,,,,,,,Texas Tech
2009,4,113,Vaughn Martin,DT,2012,0,0,2,12,49,,,,,,,,,,,,,3.0,West. Ontario
2009,4,133,Tyronne Green,G,2012,0,0,1,12,41,,,,,,,,,,,,,,Auburn
2009,4,134,Gartrell Johnson,RB,2010,0,0,0,0,19,,,,,,23,79,0,3,6,0,,,Colorado St.
2009,5,148,Brandon Hughes,DB,2012,0,0,0,2,30,,,,,,,,,,,,,,Oregon St.
2009,6,189,Kevin Ellison,LB,2009,0,0,1,4,13,,,,,,,,,,,,,1.0,USC
2009,7,224,Demetrius Byrd,WR,,0,0,0,,,,,,,,,,,,,,,,LSU
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,27,Antoine Cason,DB,2012,0,0,3,21,80,,,,,,,,,,,,12,,Arizona
2008,3,69,Jacob Hester,FB,2012,0,0,1,8,65,,,,,,111,400,3,56,315,3,,,LSU
2008,5,166,Marcus Thomas,RB,2008,0,0,0,0,5,,,,,,,,,,,,,,Texas-El Paso
2008,6,192,DeJuan Tribble,DB,,0,0,0,,,,,,,,,,,,,,,,Boston Col.
2008,7,234,Corey Clark,T,2009,0,0,0,0,2,,,,,,,,,,,,,,Texas A&M
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,30,Craig Davis,WR,2010,0,0,0,7,26,,,,,,4,13,0,51,558,2,,,LSU
2007,2,37,Eric Weddle,DB,2012,1,1,5,46,92,,,,,,3,20,0,,,,16,5.0,Utah
2007,3,96,Anthony Waters,LB,2010,0,0,0,2,20,,,,,,,,,,,,,,Clemson
2007,4,129,Scott Chandler,TE,2012,0,0,2,14,43,,,,,,,,,82,968,12,,,Iowa
2007,5,172,Legedu Naanee,WR,2012,0,0,2,13,73,2,2,48,0,0,6,5,0,108,1232,4,,,Boise St.
2007,7,240,Brandon Siler,LB,2012,0,0,1,11,74,,,,,,,,,,,,2,3.0,Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,19,Antonio Cromartie,DB,2012,1,2,5,47,111,,,,,,1,1,0,1,-2,0,25,,Florida St.
2006,2,50,Marcus McNeill,T,2011,0,2,6,47,82,,,,,,,,,,,,,,Auburn
2006,3,81,Charlie Whitehurst,QB,2012,0,0,0,3,11,84,155,805,3,4,26,69,2,,,,,,Clemson
2006,5,151,Tim Dobbins,LB,2012,0,0,1,18,107,,,,,,,,,,,,3,2.0,Iowa St.
2006,6,187,Jeromey Clary,T,2012,0,0,5,40,88,,,,,,,,,1,-8,0,,,Kansas St.
2006,6,188,Kurt Smith,K,,0,0,0,,,,,,,,,,,,,,,,Virginia
2006,7,225,Chase Page,DT,2007,0,0,0,0,6,,,,,,,,,,,,,,North Carolina
2006,7,227,Jimmy Martin,C,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,12,Shawne Merriman,LB,2012,1,3,4,40,75,,,,,,,,,,,,1,45.5,Maryland
2005,1,28,Luis Castillo,DE,2011,0,0,6,34,82,,,,,,,,,,,,2,19.0,Northwestern
2005,2,61,Vincent Jackson,WR,2012,0,3,5,61,107,,,,,,14,161,0,344,6138,45,,,Northern Colorado
2005,4,130,Darren Sproles,RB,2012,0,0,0,45,107,,,,,,384,2001,9,307,2777,25,,,Kansas St.
2005,5,164,Wesley Britt,T,2008,0,0,0,2,16,,,,,,,,,,,,,,Alabama
2005,6,177,Wes Sims,G,2005,0,0,0,0,2,,,,,,,,,,,,,,Oklahoma
2005,7,242,Scott Mruczkowski,C,2011,0,0,1,12,83,,,,,,,,,,,,,,Bowling Green
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,1,Eli Manning,QB,2012,0,3,8,86,137,2612,4457,31527,211,144,213,395,4,,,,,,Mississippi
2004,2,35,Igor Olshansky,DE,2011,0,0,7,37,115,,,,,,,,,,,,1,12.5,Oregon
2004,3,65,Nate Kaeding,K,2012,1,2,7,0,112,,,,,,,,,,,,,,Iowa
2004,3,66,Nick Hardwick,C,2012,0,1,8,52,119,,,,,,,,,,,,,,Purdue
2004,4,98,Shaun Phillips,DE,2012,0,1,7,52,136,,,,,,,,,,,,6,69.5,Purdue
2004,5,133,Dave Ball,DE,2012,0,0,1,15,72,,,,,,,,,,,,1,15.5,UCLA
2004,5,154,Michael Turner,RB,2012,1,2,5,53,134,,,,,,1639,7338,66,70,528,1,,,Northern Illinois
2004,6,169,Ryan Krause,TE,2007,0,0,0,2,13,,,,,,,,,7,92,1,,,Nebraska-Omaha
2004,7,204,Ryon Bingham,DT,2008,0,0,0,6,49,,,,,,,,,,,,,4.5,Nebraska
2004,7,209,Shane Olivea,T,2007,0,0,4,32,60,,,,,,,,,,,,,,Ohio St.
2004,7,254,Carlos Joseph,T,,0,0,0,,,,,,,,,,,,,,,,Miami (FL)
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,30,Sammy Davis,DB,2007,0,0,2,13,71,,,,,,,,,,,,3,1.0,Texas A&M
2003,2,46,Drayton Florence,DB,2012,0,0,6,37,142,,,,,,,,,,,,18,,Tuskegee
2003,2,62,Terrence Kiel,DB,2006,0,0,3,20,59,,,,,,,,,,,,4,2.0,Texas A&M
2003,3,80,Courtney Van Buren,T,2004,0,0,1,3,9,,,,,,,,,,,,,,Ark-Pine Bluff
2003,4,112,Matt Wilhelm,LB,2010,0,0,1,17,89,,,,,,,,,,,,6,2.0,Ohio St.
2003,5,149,Mike Scifres,P,2012,0,0,7,0,150,1,3,28,0,1,1,-7,0,,,,,,West. Illinois
2003,6,188,Hanik Milligan,DB,2007,0,1,0,4,53,,,,,,,,,,,,,,Houston
2003,7,229,Andrew Pinnock,FB,2007,0,0,0,4,41,,,,,,18,56,0,4,31,0,,,South Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,5,Quentin Jammer,DB,2012,0,0,10,53,172,,,,,,,,,,,,21,,Texas
2002,2,39,Toniu Fonoti,G,2006,0,0,2,15,40,,,,,,,,,,,,,,Nebraska
2002,2,48,Reche Caldwell,WR,2007,0,0,1,20,71,1,1,20,0,0,14,108,0,152,1851,11,,,Florida
2002,3,71,Ben Leber,LB,2011,0,0,8,47,143,,,,,,,,,,,,5,24.0,Kansas St.
2002,4,103,Justin Peelle,TE,2011,0,0,4,19,151,,,,,,,,,123,1003,12,,,Oregon
2002,5,142,Terry Charles,WR,,0,0,0,,,,,,,,,,,,,,,,Portland
2002,6,178,Matt Anderle,T,,0,0,0,,,,,,,,,,,,,,,,Minnesota
2002,7,216,Seth Burford,QB,,0,0,0,,,,,,,,,,,,,,,,Cal Poly-San Luis Obispo
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,5,LaDainian Tomlinson,RB,2011,3,5,10,126,170,8,12,143,7,0,3174,13684,145,624,4772,17,,,TCU
2001,2,32,Drew Brees,QB,2012,1,7,11,125,170,4035,6149,45919,324,165,298,570,9,6,72,1,,,Purdue
2001,3,67,Tay Cody,DB,2003,0,0,1,4,19,,,,,,,,,,,,2,,Florida St.
2001,4,112,Carlos Polk,LB,2008,0,0,0,7,74,,,,,,,,,,,,,4.0,Nebraska
2001,5,132,Elliot Silvers,T,,0,0,0,,,,,,,,,,,,,,,,Washington
