Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,11,Dontari Poe,DT,2012,0,0,1,6,16,,,,,,,,,,,,,,Memphis
2012,2,44,Jeff Allen,T,2012,0,0,1,3,14,,,,,,,,,,,,,,Illinois
2012,3,74,Donald Stephenson,T,2012,0,0,0,2,16,,,,,,,,,,,,,,Oklahoma
2012,4,107,Devon Wylie,WR,2012,0,0,0,0,6,,,,,,,,,6,53,0,,,Fresno St.
2012,5,146,DeQuan Menzie,CB,2012,0,0,0,0,,,,,,,,,,,,,,,Alabama
2012,6,182,Cyrus Gray,RB,2012,0,0,0,0,10,,,,,,7,44,0,2,18,0,,,Texas A&M
2012,7,218,Jerome Long,DT,2012,0,0,0,0,,,,,,,,,,,,,,,San Diego St.
2012,7,238,Junior Hemingway,WR,2012,0,0,0,0,1,,,,,,,,,,,,,,Michigan
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,26,Jonathan Baldwin,WR,2012,0,0,0,4,26,,,,,,,,,41,579,2,,,Pittsburgh
2011,2,55,Rodney Hudson,OL,2012,0,0,0,2,19,,,,,,,,,,,,,,Florida St.
2011,3,70,Justin Houston,LB,2012,0,0,2,12,32,,,,,,,,,,,,1,15.5,Georgia
2011,3,86,Allen Bailey,DL,2012,0,0,0,3,26,,,,,,,,,,,,,1.0,Miami (FL)
2011,4,118,Jalil Brown,DB,2012,0,0,0,3,29,,,,,,,,,,,,,,Colorado
2011,5,135,Ricky Stanzi,QB,2012,0,0,0,0,0,,,,,,,,,,,,,,Iowa
2011,5,140,Gabe Miller,OLB,2012,0,0,0,0,0,,,,,,,,,,,,,,Oregon St.
2011,6,199,Jerrell Powe,DL,2012,0,0,0,1,10,,,,,,,,,,,,,,Mississippi
2011,7,223,Shane Bannon,RB,2011,0,0,0,0,0,,,,,,,,,,,,,,Yale
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,5,Eric Berry,DB,2012,0,2,2,19,33,,,,,,,,,,,,5,2.0,Tennessee
2010,2,36,Dexter McCluster,WR,2012,0,0,1,10,43,,,,,,144,657,1,119,989,3,,,Mississippi
2010,2,50,Javier Arenas,DB,2012,0,0,0,6,47,,,,,,4,17,1,,,,2,4.0,Alabama
2010,3,68,Jon Asamoah,G,2012,0,0,2,8,46,,,,,,,,,,,,,,Illinois
2010,3,93,Tony Moeaki,TE,2012,0,0,2,12,30,,,,,,,,,80,1009,4,,,Iowa
2010,5,136,Kendrick Lewis,DB,2012,0,0,2,14,37,,,,,,,,,,,,6,,Mississippi
2010,5,142,Cameron Sheffield,DE,2012,0,0,0,1,17,,,,,,,,,,,,,,Troy
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,3,Tyson Jackson,DE,2012,0,0,3,21,59,,,,,,,,,,,,,5.0,LSU
2009,3,67,Alex Magee,DE,2010,0,0,0,3,25,,,,,,,,,,,,,4.0,Purdue
2009,4,102,Donald Washington,DB,2011,0,0,0,4,32,,,,,,,,,,,,,,Ohio St.
2009,5,139,Colin Brown,T,2012,0,0,0,1,12,,,,,,,,,,,,,,Missouri
2009,6,175,Quinten Lawrence,WR,2011,0,0,0,0,6,,,,,,2,42,0,1,9,0,,,McNeese St.
2009,7,212,Javarris Williams,RB,2012,0,0,0,0,4,,,,,,6,6,0,,,,,,Tennessee St.
2009,7,237,Jake O'Connell,TE,2012,0,0,0,3,35,,,,,,,,,15,108,0,,,
2009,7,256,Ryan Succop,K,2012,0,0,2,0,64,,,,,,,,,,,,,,South Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,5,Glenn Dorsey,DT,2012,0,0,4,28,66,,,,,,,,,,,,,4.0,LSU
2008,1,15,Branden Albert,G,2012,0,0,5,22,73,,,,,,,,,,,,,,Virginia
2008,2,35,Brandon Flowers,DB,2012,0,0,5,30,75,,,,,,,,,,,,16,1.0,Virginia Tech
2008,3,73,Jamaal Charles,RB,2012,1,2,2,37,65,,,,,,784,4536,17,152,1282,7,,,Texas
2008,3,76,Brad Cottam,TE,2009,0,0,1,3,24,,,,,,,,,16,183,0,,,Tennessee
2008,3,82,DaJuan Morgan,DB,2010,0,0,0,3,30,,,,,,,,,,,,,,North Carolina St.
2008,4,105,Will Franklin,WR,2008,0,0,0,1,13,,,,,,,,,7,83,0,,,Missouri
2008,5,140,Brandon Carr,DB,2012,0,0,5,30,80,,,,,,,,,,,,11,,Grand Valley St.
2008,6,170,Barry Richardson,T,2012,0,0,3,19,64,,,,,,,,,,,,,,Clemson
2008,6,182,Kevin Robinson,WR,2008,0,0,0,0,8,,,,,,,,,,,,,,Utah St.
2008,7,210,Brian Johnston,DE,2008,0,0,0,1,9,,,,,,,,,,,,,,Gardner-Webb
2008,7,239,Mike Merritt,TE,,0,0,0,,,,,,,,,,,,,,,,Central Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,23,Dwayne Bowe,WR,2012,0,1,6,39,88,,,,,,2,16,0,415,5728,39,,,LSU
2007,2,54,Turk McBride,DT,2012,0,0,1,13,66,,,,,,,,,,,,,9.5,Tennessee
2007,3,82,Tank Tyler,DT,2009,0,0,1,15,43,,,,,,,,,,,,,,North Carolina St.
2007,5,148,Kolby Smith,RB,2009,0,0,0,4,27,,,,,,162,540,3,34,209,0,,,Louisville
2007,5,160,Justin Medlock,K,2012,0,0,0,0,11,,,,,,,,,,,,,,UCLA
2007,6,196,Herbert Taylor,T,2012,0,0,0,1,20,,,,,,,,,,,,,,TCU
2007,7,231,Michael Allan,TE,,0,0,0,,,,,,,,,,,,,,,,Whitworth (WA)
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,20,Tamba Hali,DE,2012,0,2,7,50,110,,,,,,,,,,,,1,62.5,Penn St.
2006,2,54,Bernard Pollard,DB,2012,0,0,6,32,105,,,,,,,,,,,,9,9.0,Purdue
2006,3,85,Brodie Croyle,QB,2010,0,0,0,2,18,181,319,1669,8,9,10,15,0,,,,,,Alabama
2006,5,154,Marcus Maxey,DB,2006,0,0,0,0,2,,,,,,,,,,,,,,Miami (FL)
2006,6,186,Tre Stallings,G,2007,0,0,0,0,1,,,,,,,,,,,,,,Mississippi St.
2006,6,190,Jeff Webb,WR,2008,0,0,0,2,31,,,,,,1,5,0,36,382,1,,,San Diego St.
2006,7,228,Jarrad Page,DB,2011,0,0,2,21,74,,,,,,1,4,0,,,,12,1.0,UCLA
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,15,Derrick O. Johnson,LB,2012,1,2,7,57,122,,,,,,,,,,,,9,18.0,Texas
2005,3,99,Dustin Colquitt,P,2012,0,1,6,0,126,,,,,,3,-3,0,,,,,,Tennessee
2005,4,116,Craphonso Thorpe,WR,2007,0,0,0,1,5,,,,,,,,,12,70,1,,,Florida St.
2005,5,138,Boomer Grigsby,LB,2008,0,0,0,3,45,,,,,,,,,2,14,0,,,Illinois St.
2005,5,147,Alphonso Hodge,DB,,0,0,0,,,,,,,,,,,,,,,,
