Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,1,Andrew Luck,QB,2012,0,0,1,13,16,339,627,4374,23,18,62,255,5,,,,,,Stanford
2012,2,34,Coby Fleener,TE,2012,0,0,1,4,12,,,,,,,,,26,281,2,,,Stanford
2012,3,64,Dwayne Allen,TE,2012,0,0,0,6,16,,,,,,3,5,0,45,521,3,,,Clemson
2012,3,92,T.Y. Hilton,WR,2012,0,0,0,8,15,0,1,0,0,0,5,29,0,50,861,7,,,Florida International
2012,5,136,Josh Chapman,DT,2012,0,0,0,0,,,,,,,,,,,,,,,Alabama
2012,5,170,Vick Ballard,RB,2012,0,0,1,5,16,,,,,,211,814,2,17,152,1,,,Mississippi St.
2012,6,206,LaVon Brazill,WR,2012,0,0,0,1,14,,,,,,,,,11,186,1,,,Ohio
2012,7,208,Justin Anderson,T,2012,0,0,0,0,,,,,,,,,,,,,,,Georgia
2012,7,214,Tim Fugger,DE,2012,0,0,0,0,,,,,,,,,,,,,,,Vanderbilt
2012,7,253,Chandler Harnish,QB,2012,0,0,0,0,,,,,,,,,,,,,,,Northern Illinois
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,22,Anthony Castonzo,OL,2012,0,0,2,11,27,,,,,,,,,,,,,,Boston Col.
2011,2,49,Ben Ijalana,OL,2012,0,0,0,0,4,,,,,,,,,,,,,,Villanova
2011,3,87,Drake Nevis,DL,2012,0,0,0,3,14,,,,,,,,,,,,,1.0,LSU
2011,4,119,Delone Carter,RB,2012,0,0,0,3,26,,,,,,133,499,5,6,31,0,,,Syracuse
