Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,6,Morris Claiborne,CB,2012,0,0,1,6,15,,,,,,,,,,,,1,,LSU
2012,3,81,Tyrone Crawford,DE,2012,0,0,0,1,16,,,,,,,,,,,,,,Boise St.
2012,4,113,Kyle Wilber,OLB,2012,0,0,0,1,10,,,,,,,,,,,,,,Wake Forest
2012,4,135,Matt Johnson,SS,2012,0,0,0,0,,,,,,,,,,,,,,,East. Washington
2012,5,152,Danny Coale,WR,2012,0,0,0,0,,,,,,,,,,,,,,,Virginia Tech
2012,6,186,James Hanna,TE,2012,0,0,0,2,16,,,,,,,,,8,86,0,,,Oklahoma
2012,7,222,Caleb McSurdy,ILB,2012,0,0,0,0,,,,,,,,,,,,,,,Montana
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,9,Tyron Smith,T,2012,0,0,2,16,31,,,,,,,,,,,,,,USC
2011,2,40,Bruce Carter,LB,2012,0,0,1,6,21,,,,,,,,,,,,,,North Carolina
2011,3,71,DeMarco Murray,RB,2012,0,0,0,13,23,,,,,,325,1560,6,60,430,0,,,Central Oklahoma
2011,4,110,David Arkin,OL,2012,0,0,0,0,1,,,,,,,,,,,,,,Central Missouri St.
2011,5,143,Josh Thomas,DB,2012,0,0,0,4,25,,,,,,,,,,,,,,Buffalo
2011,6,176,Dwayne Harris,WR,2012,0,0,0,3,23,,,,,,,,,17,222,1,,,East Carolina
2011,7,220,Shaun Chapas,RB,2012,0,0,0,0,6,,,,,,,,,2,15,0,,,Georgia
2011,7,252,Bill Nagy,C,2012,0,0,0,2,4,,,,,,,,,,,,,,Wisc-Eau Claire
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
