Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,8,Ryan Tannehill,QB,2012,0,0,1,10,16,282,484,3294,12,13,49,211,2,,,,,,Texas A&M
2012,2,42,Jonathan Martin,T,2012,0,0,1,7,16,,,,,,,,,,,,,,Stanford
2012,3,72,Olivier Vernon,DE,2012,0,0,0,2,16,,,,,,,,,,,,,3.5,Miami (FL)
2012,3,78,Michael Egnew,TE,2012,0,0,0,0,2,,,,,,,,,,,,,,Missouri
2012,4,97,Lamar Miller,RB,2012,0,0,0,2,13,,,,,,51,250,1,6,45,0,,,Miami (FL)
2012,5,155,Josh Kaddu,LB,2012,0,0,0,0,4,,,,,,,,,,,,,,Oregon
2012,6,183,B.J. Cunningham,WR,2012,0,0,0,0,,,,,,,,,,,,,,,Michigan St.
2012,7,215,Kheeston Randall,DT,2012,0,0,0,1,10,,,,,,,,,,,,,,Texas
2012,7,227,Rishard Matthews,WR,2012,0,0,0,1,8,,,,,,,,,11,151,0,,,
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,15,Mike Pouncey,OL,2012,0,0,2,12,32,,,,,,,,,,,,,,Central Florida
2011,2,62,Daniel Thomas,RB,2012,0,0,0,7,25,,,,,,256,906,4,27,228,1,,,Arkansas St.
2011,4,111,Clyde Gates,WR,2012,0,0,0,2,26,,,,,,2,16,0,18,243,0,,,Abilene Christian
2011,6,174,Charles Clay,TE,2012,0,0,2,6,28,,,,,,,,,34,445,5,,,Tulsa
2011,7,231,Frank Kearse,DT,2012,0,0,0,3,14,,,,,,,,,,,,,1.5,Alabama A&M
2011,7,235,Jimmy Wilson,DB,2012,0,0,0,5,30,,,,,,,,,,,,1,2.0,East. Montana
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,28,Jared Odrick,DE,2012,0,0,1,12,33,,,,,,,,,,,,1,11.0,Penn St.
