Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,12,Fletcher Cox,DT,2012,0,0,0,5,15,,,,,,,,,,,,,5.5,Mississippi St.
2012,2,46,Mychal Kendricks,ILB,2012,0,0,1,6,15,,,,,,,,,,,,,1.0,California
2012,2,59,Vinny Curry,DE,2012,0,0,0,1,6,,,,,,,,,,,,,,Marshall
2012,3,88,Nick Foles,QB,2012,0,0,0,4,7,161,265,1699,6,5,11,42,1,,,,,,Arizona
2012,4,123,Brandon Boykin,CB,2012,0,0,0,2,16,,,,,,,,,,,,,1.0,Georgia
2012,5,153,Dennis Kelly,T,2012,0,0,0,4,11,,,,,,,,,,,,,,Purdue
2012,6,194,Marvin McNutt,WR,2012,0,0,0,0,4,,,,,,,,,,,,,,Iowa
2012,6,200,Brandon Washington,OG,,0,0,0,,,,,,,,,,,,,,,,Miami (FL)
2012,7,229,Bryce Brown,RB,2012,0,0,0,3,16,,,,,,115,564,4,13,56,0,,,Kansas St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,23,Danny Watkins,OL,2012,0,0,1,8,23,,,,,,,,,,,,,,Baylor
2011,2,54,Jaiquawn Jarrett,DB,2012,0,0,0,1,13,,,,,,,,,,,,,,Temple
2011,3,90,Curtis Marsh,DB,2012,0,0,0,1,22,,,,,,,,,,,,,,Utah St.
2011,4,116,Casey Matthews,LB,2012,0,0,0,3,32,,,,,,,,,,,,,1.0,Oregon
2011,4,120,Alex Henery,K,2012,0,0,0,0,32,,,,,,,,,,,,,,Nebraska
2011,5,149,Dion Lewis,RB,2012,0,0,0,2,24,,,,,,36,171,2,3,21,0,,,Pittsburgh
2011,5,161,Julian Vandervelde,OL,2012,0,0,0,0,1,,,,,,,,,,,,,,Iowa
2011,6,191,Jason Kelce,OL,2012,0,0,1,7,18,,,,,,,,,,,,,,Cincinnati
2011,6,193,Brian Rolle,LB,2012,0,0,1,6,20,,,,,,,,,,,,,1.0,Ohio St.
2011,7,237,Greg Lloyd,LB,2012,0,0,0,0,1,,,,,,,,,,,,,,Central Connecticut St.
2011,7,240,Stanley Havili,RB,2012,0,0,0,2,15,,,,,,6,22,1,7,43,0,,,USC
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,13,Brandon Graham,DE,2012,0,0,0,7,32,,,,,,,,,,,,,8.5,Michigan
2010,2,37,Nate Allen,DB,2012,0,0,3,15,43,,,,,,,,,,,,5,2.0,South Florida
2010,3,86,Daniel Te'o-Nesheim,DE,2012,0,0,1,6,22,,,,,,,,,,,,,5.0,Washington
2010,4,105,Trevard Lindley,DB,2010,0,0,0,1,11,,,,,,,,,,,,1,,Kentucky
2010,4,121,Keenan Clayton,LB,2012,0,0,0,3,35,,,,,,,,,,,,,,Oklahoma
2010,4,122,Mike Kafka,QB,2011,0,0,0,0,4,11,16,107,0,2,3,0,0,,,,,,Northwestern
2010,4,125,Clay Harbor,TE,2012,0,0,2,8,39,,,,,,,,,47,421,4,,,SW Missouri St.
2010,5,134,Ricky Sapp,DE,2012,0,0,0,0,3,,,,,,,,,,,,,,Clemson
2010,5,159,Riley Cooper,WR,2012,0,0,0,6,40,,,,,,,,,46,679,5,,,Florida
2010,6,200,Charles Scott,RB,,0,0,0,,,,,,,,,,,,,,,,LSU
2010,7,220,Jamar Chaney,LB,2012,0,0,1,12,44,,,,,,,,,,,,3,1.0,Mississippi St.
2010,7,243,Jeff Owens,DT,2010,0,0,0,0,1,,,,,,,,,,,,,,Georgia
2010,7,244,Kurt Coleman,DB,2012,0,0,2,13,44,,,,,,,,,,,,7,,Ohio St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,19,Jeremy Maclin,WR,2012,0,0,4,27,59,,,,,,6,30,0,258,3453,26,,,Missouri
2009,2,53,LeSean McCoy,RB,2012,1,1,3,37,58,,,,,,835,3866,30,220,1588,8,,,Pittsburgh
2009,5,153,Cornelius Ingram,TE,2011,0,0,0,0,0,,,,,,,,,,,,,,Florida
2009,5,157,Victor Harris,DB,2010,0,0,0,3,18,,,,,,,,,,,,,,Virginia Tech
