Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,2,55,Peter Konz,C,2012,0,0,0,5,15,,,,,,,,,,,,,,Wisconsin
2012,3,91,Lamar Holmes,T,2012,0,0,0,0,1,,,,,,,,,,,,,,Southern Miss
2012,5,157,Bradie Ewing,FB,2012,0,0,0,0,,,,,,,,,,,,,,,Wisconsin
2012,5,164,Jonathan Massaquoi,DE,2012,0,0,0,1,8,,,,,,,,,,,,,,Troy
2012,6,192,Charles Mitchell,SS,2012,0,0,0,1,9,,,,,,,,,,,,,,Mississippi St.
2012,7,249,Travian Robertson,DT,2012,0,0,0,1,5,,,,,,,,,,,,,,South Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,6,Julio Jones,WR,2012,0,1,2,22,29,,,,,,12,86,0,133,2157,18,,,Alabama
2011,3,91,Akeem Dent,LB,2012,0,0,1,8,32,,,,,,,,,,,,,,Georgia
2011,5,145,Jacquizz Rodgers,RB,2012,0,0,0,10,32,,,,,,151,567,2,74,590,2,,,Oregon St.
2011,6,192,Matt Bosher,K,2012,0,0,0,0,16,,,,,,,,,,,,,,Miami (FL)
2011,7,210,Andrew Jackson,OL,2012,0,0,0,0,0,,,,,,,,,,,,,,Fresno St.
2011,7,230,Cliff Matthews,DL,2012,0,0,0,1,10,,,,,,,,,,,,,,South Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,19,Sean Weatherspoon,LB,2012,0,0,2,19,40,,,,,,,,,,,,1,8.0,Missouri
2010,3,83,Corey Peters,DT,2012,0,0,2,18,41,,,,,,,,,,,,1,4.0,Kentucky
2010,3,98,Mike Johnson,G,2012,0,0,0,2,17,,,,,,,,,1,1,1,,,Alabama
2010,4,117,Joe Hawley,C,2012,0,0,0,8,37,,,,,,,,,,,,,,UNLV
2010,5,135,Dominique Franks,DB,2012,0,0,0,4,32,,,,,,,,,,,,3,,Oklahoma
2010,5,165,Kerry Meier,WR,2012,0,0,0,0,12,,,,,,,,,,,,,,Kansas
2010,6,171,Shann Schillinger,DB,2012,0,0,0,2,31,,,,,,,,,,,,,,Montana
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
