Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,32,David Wilson,RB,2012,0,0,0,4,16,,,,,,71,358,4,4,34,1,,,Virginia Tech
2012,2,63,Rueben Randle,WR,2012,0,0,0,3,16,,,,,,,,,19,298,3,,,LSU
2012,3,94,Jayron Hosley,CB,2012,0,0,0,3,12,,,,,,,,,,,,1,,Virginia Tech
2012,4,127,Adrien Robinson,TE,2012,0,0,0,0,2,,,,,,,,,,,,,,Cincinnati
2012,4,131,Brandon Mosley,T,2012,0,0,0,0,,,,,,,,,,,,,,,Auburn
2012,6,201,Matt McCants,T,2012,0,0,0,0,,,,,,,,,,,,,,,
2012,7,239,Markus Kuhn,DT,2012,0,0,0,1,10,,,,,,,,,,,,,,North Carolina St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,19,Prince Amukamara,CB,2012,0,0,1,5,20,,,,,,,,,,,,2,,Nebraska
2011,2,52,Marvin Austin,DL,2012,0,0,0,1,7,,,,,,,,,,,,,,North Carolina
2011,3,83,Jerrel Jernigan,WR,2012,0,0,0,0,17,,,,,,1,6,0,3,22,0,,,Troy
2011,4,117,James Brewer,OL,2012,0,0,0,0,6,,,,,,,,,,,,,,Indiana
2011,6,185,Greg Jones,LB,2012,0,0,0,3,20,,,,,,,,,,,,,,Michigan St.
2011,6,198,Tyler Sash,SS,2012,0,0,0,1,23,,,,,,,,,,,,,,Iowa
2011,6,202,Jacquian Williams,LB,2012,0,0,0,5,26,,,,,,,,,,,,,2.0,South Florida
2011,7,221,Da'Rel Scott,RB,2012,0,0,0,0,15,,,,,,11,25,0,2,13,0,,,Maryland
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
