Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,5,Justin Blackmon,WR,2012,0,0,1,6,16,,,,,,2,23,0,64,865,5,,,Oklahoma St.
2012,2,38,Andre Branch,DE,2012,0,0,0,2,13,,,,,,,,,,,,,1.0,Clemson
2012,3,70,Bryan Anger,P,2012,0,0,0,0,16,,,,,,,,,,,,,,California
2012,5,142,Brandon Marshall,OLB,2012,0,0,0,0,5,,,,,,,,,,,,,,
2012,6,176,Mike Harris,CB,2012,0,0,0,10,15,,,,,,,,,,,,1,1.0,Florida St.
2012,7,228,Jeris Pendleton,DT,2012,0,0,0,0,4,,,,,,,,,,,,,,Ashland
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,10,Blaine Gabbert,QB,2012,0,0,2,7,25,372,691,3876,21,17,66,154,0,,,,,,Missouri
2011,3,76,William Rackley,OL,,0,0,0,,,,,,,,,,,,,,,,Lehigh
2011,4,114,Cecil Shorts,WR,2012,0,0,1,7,24,,,,,,1,-4,0,57,1009,8,,,Mount Union
2011,4,121,Chris Prosinski,DB,2012,0,0,0,5,29,,,,,,,,,,,,1,,Wyoming
2011,5,147,Rod Issac,DB,2011,0,0,0,0,3,,,,,,,,,,,,,,Middle Tenn. St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,10,Tyson Alualu,DT,2012,0,0,3,20,48,,,,,,,,,,,,,9.5,California
