Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,23,Riley Reiff,T,2012,0,0,0,3,15,,,,,,,,,,,,,,Iowa
2012,2,54,Ryan Broyles,WR,2012,0,0,0,2,10,,,,,,,,,22,310,2,,,Oklahoma
2012,3,85,Bill Bentley,CB,2012,0,0,0,1,4,,,,,,,,,,,,,,
2012,4,125,Ronnell Lewis,OLB,2012,0,0,0,0,7,,,,,,,,,,,,,,Oklahoma
2012,5,138,Tahir Whitehead,OLB,2012,0,0,0,1,13,,,,,,,,,,,,,,Temple
2012,5,148,Chris Greenwood,CB,2012,0,0,0,0,,,,,,,,,,,,,,,Albion
2012,6,196,Jonte Green,DB,2012,0,0,0,3,15,,,,,,,,,,,,1,1.0,New Mexico St.
2012,7,223,Travis Lewis,OLB,2012,0,0,0,1,12,,,,,,,,,,,,,,Oklahoma
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,13,Nick Fairley,DT,2012,0,0,0,6,23,,,,,,,,,,,,,6.5,Auburn
2011,2,44,Titus Young,WR,2012,0,0,2,8,26,,,,,,4,31,0,81,990,10,,,Boise St.
2011,2,57,Mikel Leshoure,RB,2012,0,0,1,5,14,,,,,,215,798,9,34,214,0,,,East. Illinois
2011,5,157,Douglas Hogue,LB,,0,0,0,,,,,,,,,,,,,,,,Syracuse
2011,7,209,Johnny Culbreath,T,2011,0,0,0,0,0,,,,,,,,,,,,,,South Carolina St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,2,Ndamukong Suh,DT,2012,1,1,3,32,46,,,,,,,,,,,,1,22.0,Nebraska
2010,1,30,Jahvid Best,RB,2012,0,0,1,13,22,0,1,0,0,0,255,945,6,85,774,3,,,California
2010,3,66,Amari Spievey,DB,2012,0,0,2,12,36,,,,,,,,,,,,5,1.0,Iowa
2010,4,128,Jason Fox,T,2012,0,0,0,0,5,,,,,,,,,,,,,,Miami (FL)
2010,7,213,Willie Young,DE,2010,0,0,0,0,2,,,,,,,,,,,,,,North Carolina St.
2010,7,255,Tim Toone,WR,2012,0,0,0,0,0,,,,,,,,,,,,,,Weber St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,1,Matthew Stafford,QB,2012,0,0,3,33,45,1114,1863,12807,80,54,81,323,7,1,3,0,,,Georgia
2009,1,20,Brandon Pettigrew,TE,2012,0,0,4,25,57,,,,,,,,,243,2412,14,,,Oklahoma St.
2009,2,33,Louis Delmas,DB,2012,0,0,3,18,49,,,,,,,,,,,,3,3.0,West. Michigan
2009,3,76,DeAndre Levy,LB,2012,0,0,4,22,57,,,,,,,,,,,,5,1.0,Wisconsin
2009,3,82,Derrick Williams,WR,2010,0,0,0,0,18,,,,,,1,4,0,9,82,0,,,Penn St.
2009,4,115,Sammie Lee Hill,DT,2012,0,0,1,10,59,,,,,,,,,,,,,4.0,Stillman
2009,6,192,Aaron Brown,RB,2011,0,0,0,2,22,,,,,,45,189,0,18,138,1,,,TCU
2009,7,228,Lydon Murtha,T,2011,0,0,0,2,9,,,,,,,,,,,,,,Nebraska
2009,7,235,Zack Follett,LB,2010,0,0,0,2,17,,,,,,,,,,,,,,California
2009,7,255,Dan Gronkowski,TE,2011,0,0,0,4,21,,,,,,,,,9,69,0,,,Maryland
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
