Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,28,Nick Perry,DE,2012,0,0,0,2,6,,,,,,,,,,,,,2.0,USC
2012,2,51,Jerel Worthy,DT,2012,0,0,0,3,13,,,,,,,,,,,,,2.5,Michigan St.
2012,2,62,Casey Hayward,DB,2012,0,0,0,4,16,,,,,,,,,,,,6,,Vanderbilt
2012,4,132,Mike Daniels,DT,2012,0,0,0,2,14,,,,,,,,,,,,,2.0,Iowa
2012,4,133,Jerron McMillian,SS,2012,0,0,0,1,16,,,,,,,,,,,,1,,Maine
2012,5,163,Terrell Manning,OLB,2012,0,0,0,0,5,,,,,,,,,,,,,,North Carolina St.
2012,7,241,Andrew Datko,T,2012,0,0,0,0,,,,,,,,,,,,,,,Florida St.
2012,7,243,B.J. Coleman,QB,2012,0,0,0,0,,,,,,,,,,,,,,,Tenn-Chattanooga
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,32,Derek Sherrod,OL,2012,0,0,0,1,5,,,,,,,,,,,,,,Mississippi St.
2011,2,64,Randall Cobb,WR,2012,0,0,0,18,30,0,1,0,0,0,12,137,0,105,1329,9,,,East. Kentucky
2011,3,96,Alex Green,RB,2012,0,0,0,5,16,,,,,,138,475,0,19,131,0,,,Hawaii
2011,4,131,Davon House,DB,2012,0,0,0,2,11,,,,,,,,,,,,,1.0,New Mexico St.
2011,5,141,D.J. Williams,TE,2012,0,0,0,4,26,,,,,,,,,9,70,0,,,Arkansas
2011,6,179,Caleb Schlauderaff,OL,2012,0,0,0,1,6,,,,,,,,,,,,,,Southern Utah
2011,6,186,D.J. Smith,LB,2012,0,0,0,6,22,,,,,,,,,,,,1,2.0,Appalachian St.
2011,6,197,Ricky Elmore,DL,2012,0,0,0,0,0,,,,,,,,,,,,,,Arizona
2011,7,218,Ryan Taylor,TE,2012,0,0,0,4,31,,,,,,,,,2,15,1,,,North Carolina
