Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,9,Luke Kuechly,ILB,2012,0,0,1,9,16,,,,,,,,,,,,2,1.0,Boston Col.
2012,2,40,Amini Silatolu,T,2012,0,0,1,6,15,,,,,,,,,,,,,,Midwestern St.
2012,4,103,Frank Alexander,DE,2012,0,0,0,2,16,,,,,,,,,,,,,2.5,Oklahoma
2012,4,104,Joe Adams,WR,2012,0,0,0,0,9,,,,,,3,13,0,1,7,0,,,Arkansas
2012,5,143,Josh Norman,CB,2012,0,0,1,5,16,,,,,,,,,,,,1,,Coastal Carolina
2012,6,207,Brad Nortman,P,2012,0,0,0,0,16,,,,,,,,,,,,,,Wisconsin
2012,7,216,D.J. Campbell,FS,2012,0,0,0,2,5,,,,,,,,,,,,,,California
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,1,Cam Newton,QB,2012,0,1,2,33,32,590,1002,7920,40,29,253,1447,22,1,33,0,,,Auburn
2011,3,65,Terrell McClain,DL,2012,0,0,1,4,15,,,,,,,,,,,,,1.0,South Florida
2011,3,97,Sione Fua,DL,2012,0,0,0,4,24,,,,,,,,,,,,,,Stanford
2011,4,98,Brandon Hogan,DB,2011,0,0,0,0,3,,,,,,,,,,,,,,West Virginia
2011,5,132,Kealoha Pilares,WR,2012,0,0,0,1,20,,,,,,1,17,0,2,42,1,,,Hawaii
2011,6,166,Lawrence Wilson,LB,,0,0,0,,,,,,,,,,,,,,,,Central Connecticut St.
2011,6,203,Zachary Williams,OL,,0,0,0,,,,,,,,,,,,,,,,Washington St.
2011,7,244,Lee Ziemba,OL,2012,0,0,0,0,6,,,,,,,,,,,,,,Auburn
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,2,48,Jimmy Clausen,QB,2012,0,0,1,0,13,157,299,1558,3,9,23,57,0,,,,,,Notre Dame
2010,3,78,Brandon LaFell,WR,2012,0,0,1,14,44,0,1,0,0,0,4,95,0,118,1758,8,,,LSU
2010,3,89,Armanti Edwards,WR,2012,0,0,0,1,34,2,3,11,0,0,2,12,0,5,121,0,,,Appalachian St.
2010,4,124,Eric Norwood,LB,2011,0,0,0,2,28,,,,,,,,,,,,,1.0,South Carolina
2010,6,175,Greg Hardy,DE,2012,0,0,2,14,46,,,,,,,,,,,,,18.0,Mississippi
2010,6,198,David Gettis,WR,2012,0,0,1,3,17,,,,,,3,2,0,37,508,3,,,Baylor
2010,6,202,Jordan Pugh,DB,2012,0,0,0,4,40,,,,,,,,,,,,1,1.0,Texas A&M
2010,6,204,Tony Pike,QB,2010,0,0,0,0,1,6,12,47,0,0,,,,,,,,,Cincinnati
2010,7,223,RJ Stanford,DB,,0,0,0,,,,,,,,,,,,,,,,Utah
2010,7,249,Robert McClain,DB,2012,0,0,0,5,31,,,,,,,,,,,,1,,Connecticut
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,2,43,Everette Brown,DE,2011,0,0,0,4,31,,,,,,,,,,,,1,6.0,Florida St.
2009,2,59,Sherrod Martin,DB,2012,0,0,2,15,59,,,,,,,,,,,,7,,Troy
2009,3,93,Corvey Irvin,DT,2012,0,0,0,1,17,,,,,,,,,,,,,,Georgia
2009,4,111,Mike Goodson,RB,2012,0,0,0,7,40,,,,,,160,722,3,59,524,1,,,Texas A&M
