Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,21,Chandler Jones,DE,2012,0,0,0,6,14,,,,,,,,,,,,,6.0,Syracuse
2012,1,25,Dont'a Hightower,ILB,2012,0,0,1,7,14,,,,,,,,,,,,,4.0,Alabama
2012,2,48,Tavon Wilson,FS,2012,0,0,0,4,16,,,,,,,,,,,,4,,Illinois
2012,3,90,Jake Bequette,DE,2012,0,0,0,0,3,,,,,,,,,,,,,,Arkansas
2012,6,197,Nate Ebner,DB,2012,0,0,0,1,15,,,,,,,,,,,,,,Ohio St.
2012,7,224,Alfonzo Dennard,CB,2012,0,0,0,3,10,,,,,,,,,,,,3,,Nebraska
2012,7,235,Jeremy Ebert,WR,2012,0,0,0,,,,,,,,,,,,,,,,Northwestern
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,17,Nate Solder,OL,2012,0,0,2,20,32,,,,,,,,,,,,,,Colorado
2011,2,33,Ras-I Dowling,DB,2012,0,0,0,1,8,,,,,,,,,,,,,,Northern Virginia CC
2011,2,56,Shane Vereen,RB,2012,0,0,0,4,18,,,,,,77,308,4,8,149,1,,,California
2011,3,73,Stevan Ridley,RB,2012,0,0,1,15,32,,,,,,377,1704,13,9,64,0,,,LSU
2011,3,74,Ryan Mallett,QB,2012,0,0,0,0,4,1,4,17,0,1,8,-9,0,,,,,,Arkansas
2011,5,138,Marcus Cannon,OL,2012,0,0,0,2,23,,,,,,,,,,,,,,TCU
2011,5,159,Lee Smith,TE,2012,0,0,0,3,26,,,,,,,,,8,24,2,,,Franklin & Marshall
2011,6,194,Markell Carter,LB,2011,0,0,0,0,0,,,,,,,,,,,,,,Central Arkansas
2011,7,219,Malcolm Williams,DB,2012,0,0,0,0,4,,,,,,,,,,,,,,TCU
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,27,Devin McCourty,DB,2012,0,1,3,23,46,,,,,,,,,,,,14,1.0,Rutgers
2010,2,42,Rob Gronkowski,TE,2012,1,2,3,36,43,,,,,,1,2,1,187,2663,38,,,Arizona
2010,2,53,Jermaine Cunningham,LB,2012,0,0,1,8,36,,,,,,,,,,,,,3.5,Florida
2010,2,62,Brandon Spikes,LB,2012,0,0,2,12,35,,,,,,,,,,,,1,1.0,Florida
2010,3,90,Taylor Price,WR,2012,0,0,0,1,6,,,,,,,,,5,80,0,,,Ohio
2010,4,113,Aaron Hernandez,TE,2012,0,0,1,28,38,,,,,,9,97,0,175,1956,18,,,Florida
2010,5,150,Zoltan Mesko,P,2012,0,0,1,0,48,,,,,,,,,,,,,,Michigan
2010,6,205,Ted Larsen,C,2012,0,0,1,13,44,,,,,,,,,,,,,,North Carolina St.
2010,7,208,Thomas Welch,T,2012,0,0,0,2,11,,,,,,,,,,,,,,Vanderbilt
2010,7,247,Brandon Deaderick,DE,2012,0,0,0,8,34,,,,,,,,,,,,,5.0,Alabama
2010,7,248,Kade Weston,DT,,0,0,0,,,,,,,,,,,,,,,,Georgia
2010,7,250,Zac Robinson,QB,2012,0,0,0,0,0,,,,,,,,,,,,,,Oklahoma St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,2,34,Patrick Chung,DB,2012,0,0,1,12,50,,,,,,,,,,,,7,3.0,Oregon
2009,2,40,Ron Brace,DT,2012,0,0,1,6,38,,,,,,,,,,,,,,Boston Col.
2009,2,41,Darius Butler,DB,2012,0,0,0,10,53,,,,,,,,,,,,7,,Connecticut
2009,2,58,Sebastian Vollmer,T,2012,0,0,2,32,51,,,,,,,,,,,,,,Houston
2009,3,83,Brandon Tate,WR,2012,0,0,1,11,50,,,,,,7,73,0,37,643,4,,,North Carolina
2009,3,97,Tyrone McKenzie,LB,2012,0,0,0,1,19,,,,,,,,,,,,,,South Florida
2009,4,123,Rich Ohrnberger,G,2012,0,0,0,1,18,,,,,,,,,,,,,,Penn St.
2009,5,170,George Bussey,T,,0,0,0,,,,,,,,,,,,,,,,Louisville
2009,6,198,Jake Ingram,LS,2010,0,0,0,0,25,,,,,,,,,,,,,,Hawaii
2009,6,207,Myron Pryor,DT,2012,0,0,0,3,24,,,,,,,,,,,,,1.0,Kentucky
2009,7,232,Julian Edelman,WR,2012,0,0,0,10,48,,,,,,12,72,0,69,714,4,,,Kent St.
2009,7,234,Darryl Richard,DT,,0,0,0,,,,,,,,,,,,,,,,Georgia Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,10,Jerod Mayo,LB,2012,1,2,5,43,75,,,,,,,,,,,,3,7.5,Tennessee
2008,2,62,Terrence Wheatley,DB,2011,0,0,0,1,12,,,,,,,,,,,,,,Colorado
2008,3,78,Shawn Crable,LB,2010,0,0,0,0,6,,,,,,,,,,,,,0.5,Michigan
2008,3,94,Kevin O'Connell,QB,2011,0,0,0,0,2,4,6,23,0,0,3,-6,0,,,,,,San Diego St.
2008,4,129,Jonathan Wilhite,DB,2011,0,0,0,9,54,,,,,,,,,,,,4,2.0,Auburn
2008,5,153,Matt Slater,WR,2012,0,2,0,0,75,,,,,,1,6,0,1,46,0,,,UCLA
2008,6,197,Bo Ruud,LB,,0,0,0,,,,,,,,,,,,,,,,Nebraska
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
