Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,3,95,Tony Bergstrom,T,2012,0,0,0,0,8,,,,,,,,,,,,,,Utah
2012,4,129,Miles Burris,OLB,2012,0,0,1,6,16,,,,,,,,,,,,1,1.5,San Diego St.
2012,5,158,Jack Crawford,DE,2012,0,0,0,0,4,,,,,,,,,,,,,,Penn St.
2012,5,168,Juron Criner,WR,2012,0,0,0,1,12,,,,,,,,,16,151,1,,,Arizona
2012,6,189,Christo Bilukidi,DE,2012,0,0,0,1,13,,,,,,,,,,,,,,
2012,7,230,Nathan Stupar,OLB,,0,0,0,,,,,,,,,,,,,,,,Penn St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,2,48,Stefen Wisniewski,OL,2012,0,0,2,13,31,,,,,,,,,,,,,,Penn St.
2011,3,81,Demarcus Van Dyke,DB,2012,0,0,0,3,23,,,,,,,,,,,,1,,Miami (FL)
2011,3,92,Joseph Barksdale,OL,2012,0,0,0,1,6,,,,,,,,,,,,,,LSU
2011,4,113,Chimdi Chekwa,DB,2012,0,0,0,0,7,,,,,,,,,,,,,,Ohio St.
2011,4,125,Taiwan Jones,RB,2012,0,0,0,1,23,,,,,,22,94,0,4,36,0,,,East. Washington
2011,5,148,Denarius Moore,WR,2012,0,0,2,10,28,,,,,,6,56,1,84,1359,12,,,East Tennessee St.
2011,6,181,Richard Gordon,TE,2012,0,0,0,2,27,,,,,,,,,3,11,1,,,Miami (FL)
2011,7,241,David Ausberry,WR,2012,0,0,0,3,28,,,,,,1,-2,0,9,106,0,,,USC
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,8,Rolando McClain,LB,2012,0,0,3,16,41,,,,,,,,,,,,1,6.5,Alabama
2010,2,44,Lamarr Houston,DE,2012,0,0,3,19,48,,,,,,,,,,,,1,10.5,Texas
2010,3,69,Jared Veldheer,T,2012,0,0,3,18,48,,,,,,,,,,,,,,Hillsdale
2010,4,106,Bruce Campbell,T,2012,0,0,0,1,19,,,,,,,,,,,,,,Maryland
2010,4,108,Jacoby Ford,WR,2012,0,0,1,11,24,,,,,,14,186,2,44,749,3,,,Clemson
2010,5,138,Walter McFadden,DB,2012,0,0,0,0,4,,,,,,,,,,,,,,Auburn
2010,6,190,Travis Goethel,LB,2012,0,0,0,1,15,,,,,,,,,,,,,,Arizona St.
2010,7,215,Jeremy Ware,DB,2010,0,0,0,1,8,,,,,,,,,,,,1,,Michigan St.
2010,7,251,Stevie Brown,DB,2012,0,0,1,8,39,,,,,,,,,,,,8,,Michigan
