Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,14,Michael Brockers,DT,2012,0,0,1,6,13,,,,,,,,,,,,,4.0,LSU
2012,2,33,Brian Quick,WR,2012,0,0,0,1,14,,,,,,,,,11,156,2,,,Appalachian St.
2012,2,39,Janoris Jenkins,CB,2012,0,0,1,8,15,,,,,,,,,,,,4,,North Alabama
2012,2,50,Isaiah Pead,RB,2012,0,0,0,0,15,,,,,,10,54,0,3,16,0,,,Cincinnati
2012,3,65,Trumaine Johnson,CB,2012,0,0,0,3,16,,,,,,,,,,,,2,,Montana
2012,4,96,Chris Givens,WR,2012,0,0,1,5,15,,,,,,3,12,0,42,698,3,,,Wake Forest
2012,5,150,Rokevious Watkins,T,2012,0,0,0,0,1,,,,,,,,,,,,,,South Carolina
2012,6,171,Greg Zuerlein,K,2012,0,0,0,0,16,,,,,,,,,,,,,,
2012,7,209,Aaron Brown,LB,,0,0,0,,,,,,,,,,,,,,,,Hawaii
2012,7,252,Daryl Richardson,RB,2012,0,0,0,4,16,,,,,,98,475,0,24,163,0,,,Abilene Christian
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,14,Robert Quinn,DE,2012,0,0,1,9,31,,,,,,,,,,,,,15.5,North Carolina
2011,2,47,Lance Kendricks,TE,2012,0,0,2,8,31,,,,,,1,-8,0,70,871,4,,,Wisc-Eau Claire
2011,3,78,Austin Pettis,WR,2012,0,0,0,3,26,,,,,,1,-6,0,57,517,4,,,Boise St.
2011,4,112,Greg Salas,WR,2012,0,0,0,1,7,,,,,,1,8,0,27,264,0,,,Hawaii
2011,5,158,Jermale Hines,DB,2011,0,0,0,0,10,,,,,,,,,,,,,,Ohio St.
2011,7,216,Mikail Baker,DB,,0,0,0,,,,,,,,,,,,,,,,Baylor
2011,7,228,Jabara Williams,OLB,2012,0,0,0,0,7,,,,,,,,,,,,,,S.F. Austin
2011,7,229,Jonathan Nelson,DB,2011,0,0,0,1,2,,,,,,,,,,,,1,,Central Oklahoma
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,1,Sam Bradford,QB,2012,0,0,3,20,42,873,1498,9378,45,34,82,216,2,,,,,,Oklahoma
2010,2,33,Rodger Saffold,T,2012,0,0,1,11,35,,,,,,,,,,,,,,Indiana
2010,3,65,Jerome Murphy,DB,2012,0,0,0,2,15,,,,,,,,,,,,1,,South Florida
2010,4,99,Mardy Gilyard,WR,2012,0,0,0,1,13,,,,,,,,,8,78,0,,,Cincinnati
2010,5,132,Michael Hoomanawanui,TE,2012,0,0,0,6,30,,,,,,,,,25,338,3,,,Illinois
2010,5,149,Hall Davis,DE,2010,0,0,0,0,1,,,,,,,,,,,,,,La-Lafayette
2010,6,170,Fendi Onobun,TE,2011,0,0,0,0,4,,,,,,,,,2,15,0,,,Arizona
2010,6,189,Eugene Sims,DE,2012,0,0,0,4,38,,,,,,,,,,,,1,3.0,West Texas A&M
2010,7,211,Marquis Johnson,DB,2011,0,0,0,0,4,,,,,,,,,,,,,,Alabama
2010,7,226,George Selvie,DE,2012,0,0,0,5,36,,,,,,,,,,,,,3.0,South Florida
2010,7,254,Josh Hull,LB,2012,0,0,0,2,28,,,,,,,,,,,,,,Penn St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,2,Jason Smith,T,2012,0,0,1,7,31,,,,,,,,,,,,,,Baylor
2009,2,35,James Laurinaitis,LB,2012,0,0,4,33,64,,,,,,,,,,,,7,8.5,Ohio St.
2009,3,66,Bradley Fletcher,DB,2012,0,0,1,13,43,,,,,,,,,,,,5,1.0,Iowa
2009,4,103,Darell Scott,DT,2011,0,0,0,5,33,,,,,,,,,,,,,,Clemson
2009,5,160,Brooks Foster,WR,,0,0,0,,,,,,,,,,,,,,,,North Carolina
2009,6,196,Keith Null,QB,2009,0,0,0,1,4,73,119,566,3,9,5,6,0,,,,,,West Texas A&M
2009,7,211,Chris Ogbonnaya,RB,2012,0,0,0,8,29,,,,,,95,420,1,48,371,0,,,Texas
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,2,Chris Long,DE,2012,0,0,4,31,80,,,,,,,,,,,,,42.0,Virginia
2008,2,33,Donnie Avery,WR,2012,0,0,3,14,55,,,,,,18,108,1,163,2089,12,,,Houston
2008,3,65,John Greco,T,2012,0,0,0,6,55,,,,,,,,,,,,,,Toledo
2008,4,101,Justin King,DB,2012,0,0,1,9,38,,,,,,,,,,,,1,1.0,Penn St.
2008,4,128,Keenan Burton,WR,2009,0,0,0,3,22,,,,,,3,8,0,38,425,1,,,Kentucky
2008,5,157,Roy Schuening,G,2008,0,0,0,0,1,,,,,,,,,,,,,,Oregon St.
2008,7,228,Chris Chamberlain,DB,2012,0,0,1,11,59,,,,,,,,,,,,1,2.0,Tulsa
2008,7,252,David Vobora,LB,2011,0,0,1,8,40,,,,,,,,,,,,,2.0,Idaho
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,13,Adam Carriker,DE,2012,0,0,3,22,65,,,,,,,,,,,,,9.0,Nebraska
2007,2,52,Brian Leonard,RB,2012,0,0,0,8,71,,,,,,174,646,0,113,814,1,,,Rutgers
2007,3,84,Jonathan Wade,DB,2011,0,0,0,10,61,,,,,,,,,,,,2,,Tennessee
2007,5,139,Dustin Fry,C,2007,0,0,0,0,4,,,,,,,,,,,,,,Clemson
2007,5,154,Clifton Ryan,DT,2010,0,0,2,13,49,,,,,,,,,,,,,3.0,Michigan St.
2007,6,191,Ken Shackleford,T,,0,0,0,,,,,,,,,,,,,,,,Georgia
2007,7,248,Keith Jackson,DT,,0,0,0,,,,,,,,,,,,,,,,Arkansas
2007,7,249,Derek Stanley,WR,2009,0,0,0,1,15,,,,,,2,5,0,6,119,1,,,Wisc-Whitewater
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,15,Tye Hill,DB,2010,0,0,0,10,40,,,,,,,,,,,,5,,Clemson
2006,2,46,Joe Klopfenstein,TE,2009,0,0,3,8,49,,,,,,,,,34,397,2,,,Colorado
2006,3,68,Claude Wroten,DT,2007,0,0,0,2,26,,,,,,,,,,,,,1.5,LSU
2006,3,77,Jon Alston,LB,2009,0,0,0,5,39,,,,,,1,22,0,,,,,,Stanford
2006,3,93,Dominique Byrd,TE,2011,0,0,0,2,17,,,,,,,,,6,83,1,,,USC
2006,4,113,Victor Adeyanju,DE,2009,0,0,2,14,53,,,,,,,,,,,,,3.0,Indiana
2006,5,144,Marques Hagans,WR,2008,0,0,0,1,10,1,1,5,0,0,3,-2,0,9,108,0,,,Virginia
2006,7,221,Tim McGarigle,LB,2007,0,0,0,1,12,,,,,,,,,,,,,,Northwestern
2006,7,242,Mark Setterstrom,G,2009,0,0,0,5,19,,,,,,,,,,,,,,Minnesota
2006,7,243,Tony Palmer,G,2007,0,0,0,0,8,,,,,,,,,,,,,,Missouri
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,19,Alex Barron,T,2010,0,0,5,26,87,,,,,,,,,,,,,,Florida St.
2005,2,50,Ronald Bartell,DB,2012,0,0,4,24,90,,,,,,,,,,,,8,2.0,Howard
2005,3,66,O.J. Atogwe,DB,2011,0,0,5,34,101,,,,,,,,,,,,25,5.5,Stanford
2005,3,81,Richie Incognito,G,2012,0,0,6,32,94,,,,,,,,,,,,,,Oregon
2005,4,117,Jerome Carter,DB,2007,0,0,0,3,33,,,,,,,,,,,,2,,Florida St.
2005,4,134,Claude Terrell,G,2007,0,0,1,5,20,,,,,,,,,,,,,,New Mexico
2005,5,144,Jerome Collins,TE,2005,0,0,0,0,3,,,,,,,,,,,,,,Notre Dame
2005,6,192,Dante Ridgeway,WR,2005,0,0,0,0,7,,,,,,,,,2,26,0,,,Ball St.
2005,6,210,Reggie Hodges,P,2012,0,0,2,0,64,,,,,,2,68,0,,,,,,Ball St.
2005,7,250,Ryan Fitzpatrick,QB,2012,0,0,5,36,74,1338,2249,14336,92,81,252,1190,6,1,-3,0,,,Harvard
2005,7,251,Madison Hedgecock,FB,2010,0,0,4,12,84,,,,,,3,2,0,37,233,2,,,North Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,1,24,Steven Jackson,RB,2012,0,3,8,68,131,1,1,2,1,0,2395,10135,56,407,3324,8,,,Oregon St.
2004,3,91,Anthony Hargrove,DE,2011,0,0,1,20,102,,,,,,,,,,,,,19.5,Georgia Tech
2004,4,130,Brandon Chillar,LB,2010,0,0,2,23,97,,,,,,,,,,,,1,8.5,UCLA
2004,5,158,Jason Shivers,DB,2004,0,0,0,0,1,,,,,,,,,,,,,,Arizona St.
2004,6,201,Jeff Smoker,QB,,0,0,0,,,,,,,,,,,,,,,,Michigan St.
2004,7,237,Erik Jensen,TE,,0,0,0,,,,,,,,,,,,,,,,Iowa
2004,7,238,Larry Turner,C,2006,0,0,0,1,21,,,,,,,,,,,,,,East. Kentucky
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,12,Jimmy Kennedy,DT,2011,0,0,2,17,92,,,,,,,,,,,,,8.5,Penn St.
2003,2,43,Pisa Tinoisamoa,LB,2010,0,0,7,36,98,,,,,,,,,,,,7,11.0,Hawaii
2003,3,74,Kevin Curtis,WR,2010,0,0,3,26,81,,,,,,9,39,1,253,3297,20,,,Utah St.
2003,4,106,Shaun McDonald,WR,2009,0,0,1,19,88,,,,,,11,16,0,220,2490,11,,,Arizona St.
2003,4,107,DeJuan Groce,DB,2006,0,0,1,10,54,,,,,,,,,,,,3,,Nebraska
2003,5,148,Dan Curley,FB,2003,0,0,0,0,1,,,,,,,,,,,,,,East. Washington
2003,5,170,Shane Walton,DB,2003,0,0,0,0,4,,,,,,,,,,,,,,Notre Dame
2003,5,172,Kevin Garrett,DB,2006,0,0,0,2,24,,,,,,,,,,,,,,SMU
2003,6,184,Scott Tercero,G,2004,0,0,0,2,8,,,,,,,,,,,,,,California
2003,7,251,Scott Shanle,LB,2012,0,0,7,42,133,,,,,,,,,,,,3,9.0,Nebraska
2003,7,254,Richard Angulo,TE,2008,0,0,0,3,27,,,,,,,,,17,155,1,,,West. New Mexico
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,31,Robert W. Thomas,LB,2008,0,0,5,21,84,,,,,,,,,,,,1,2.0,UCLA
2002,2,64,Travis Fisher,DB,2009,0,0,6,24,90,,,,,,,,,,,,9,,Central Florida
2002,3,84,Lamar Gordon,RB,2006,0,0,0,8,41,,,,,,226,774,3,62,490,2,,,North Dakota St.
2002,3,95,Eric Crouch,WR,,0,0,0,,,,,,,,,,,,,,,,Nebraska
2002,4,130,Travis Scott,G,,0,0,0,,,,,,,,,,,,,,,,Arizona St.
2002,5,167,Courtland Bullard,LB,2003,0,0,0,2,20,,,,,,,,,,,,,,Ohio St.
2002,6,205,Steve Bellisari,QB,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
2002,7,243,Chris Massey,RB,2011,0,0,0,7,141,,,,,,1,-1,0,,,,,,Marshall
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
