Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,2,35,Courtney Upshaw,OLB,2012,0,0,0,5,16,,,,,,,,,,,,,1.5,Alabama
2012,2,60,Kelechi Osemele,T,2012,0,0,1,6,16,,,,,,,,,,,,,,Iowa St.
2012,3,84,Bernard Pierce,RB,2012,0,0,0,4,16,,,,,,108,532,1,7,47,0,,,Temple
2012,4,98,Gino Gradkowski,G,2012,0,0,0,1,15,,,,,,,,,,,,,,Delaware
2012,4,130,Christian Thompson,FS,2012,0,0,0,0,5,,,,,,,,,,,,,,South Carolina St.
2012,5,169,Asa Jackson,CB,2012,0,0,0,0,1,,,,,,,,,,,,,,
2012,6,198,Tommy Streeter,WR,2012,0,0,0,0,,,,,,,,,,,,,,,Miami (FL)
2012,7,236,Deangelo Tyson,DE,2012,0,0,0,1,10,,,,,,,,,,,,,,Georgia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,27,Jimmy Smith,CB,2012,0,0,0,3,24,,,,,,,,,,,,2,,Colorado
2011,2,58,Torrey Smith,WR,2012,0,0,2,16,32,,,,,,7,48,0,99,1696,15,,,Maryland
2011,3,85,Jah Reid,T,2012,0,0,0,4,25,,,,,,,,,,,,,,Central Florida
2011,4,123,Tandon Doss,WR,2012,0,0,0,1,20,,,,,,,,,7,123,1,,,Indiana
2011,5,164,Chykie Brown,DB,2012,0,0,0,1,23,,,,,,,,,,,,,,North Texas
2011,5,165,Pernell McPhee,DL,2012,0,0,0,6,28,,,,,,,,,,,,,7.5,Mississippi St.
2011,6,180,Tyrod Taylor,QB,2012,0,0,0,1,9,18,30,197,0,1,15,75,1,,,,,,Virginia Tech
2011,7,225,Anthony Allen,RB,2012,0,0,0,1,21,,,,,,19,69,1,2,12,0,,,Georgia Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,2,43,Sergio Kindle,LB,2012,0,0,0,0,3,,,,,,,,,,,,,,Texas
2010,2,57,Terrence Cody,DT,2012,0,0,1,12,44,,,,,,,,,,,,,,Alabama
2010,3,70,Ed Dickson,TE,2012,0,0,2,14,44,,,,,,,,,86,905,6,,,Oregon
2010,4,114,Dennis Pitta,TE,2012,0,0,0,14,43,,,,,,,,,102,1075,10,,,BYU
2010,5,156,David Reed,WR,2012,0,0,0,2,29,,,,,,2,31,0,5,66,0,,,Utah
2010,5,157,Art Jones,DE,,0,0,0,,,,,,,,,,,,,,,,Syracuse
2010,6,194,Ramone Harewood,T,,0,0,0,,,,,,,,,,,,,,,,Morehouse
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,23,Michael Oher,T,2012,0,0,4,27,64,,,,,,,,,1,-8,0,,,Mississippi
2009,2,57,Paul Kruger,DE,2012,0,0,0,8,51,,,,,,,,,,,,2,15.5,Utah
2009,3,88,Lardarius Webb,DB,2012,0,0,1,16,51,,,,,,,,,,,,8,2.0,Nicholls St.
2009,5,137,Jason Phillips,LB,2012,0,0,0,3,29,,,,,,,,,,,,,,TCU
2009,5,149,Davon Drew,TE,2011,0,0,0,0,0,,,,,,,,,,,,,,East Carolina
2009,6,185,Cedric Peerman,RB,2012,0,0,0,3,38,,,,,,41,274,1,10,96,0,,,Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,18,Joe Flacco,QB,2012,0,0,5,55,80,1507,2489,17633,102,56,201,430,7,2,35,0,,,Delaware
2008,2,55,Ray Rice,RB,2012,0,3,4,61,77,1,2,1,1,0,1216,5520,33,311,2713,6,,,Rutgers
2008,3,71,Tavares Gooden,LB,2012,0,0,1,8,57,,,,,,,,,,,,,,Miami (FL)
2008,3,86,Tom Zbikowski,DB,2012,0,0,1,11,64,,,,,,,,,,,,3,2.0,Notre Dame
2008,3,99,Oniel Cousins,G,2010,0,0,0,4,25,,,,,,,,,,,,,,Texas-El Paso
2008,4,106,Marcus Smith,WR,2010,0,0,0,0,21,,,,,,,,,,,,,,New Mexico
2008,4,133,David Hale,T,2009,0,0,0,1,18,,,,,,,,,,,,,,Weber St.
2008,6,206,Haruki Nakamura,DB,2012,0,0,1,10,69,,,,,,1,-4,0,,,,2,,Cincinnati
2008,7,215,Justin Harper,WR,2009,0,0,0,0,2,,,,,,,,,,,,,,Virginia Tech
2008,7,240,Allen Patrick,RB,,0,0,0,,,,,,,,,,,,,,,,Oklahoma
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,29,Ben Grubbs,G,2012,0,1,6,34,90,,,,,,,,,,,,,,Auburn
2007,3,74,Yamon Figurs,WR,2010,0,0,0,2,34,,,,,,3,-7,0,5,103,1,,,Kansas St.
2007,3,86,Marshall Yanda,T,2012,0,2,4,36,83,,,,,,,,,,,,,,Iowa
2007,4,134,Antwan Barnes,LB,2012,0,0,0,9,78,,,,,,,,,,,,1,23.5,Florida International
2007,4,137,Le'Ron McClain,RB,2012,1,2,6,15,95,,,,,,343,1278,13,92,564,3,,,Alabama
2007,5,174,Troy Smith,QB,2010,0,0,0,6,20,121,234,1734,8,5,52,230,3,1,36,0,,,Ohio St.
