Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,2,Robert Griffin III,QB,2012,0,1,1,18,15,258,393,3200,20,5,120,815,7,,,,,,Baylor
2012,3,71,Josh LeRibeus,G,2012,0,0,0,0,4,,,,,,,,,,,,,,SMU
2012,4,102,Kirk Cousins,QB,2012,0,0,0,2,3,33,48,466,4,3,3,22,0,,,,,,Michigan St.
2012,4,119,Keenan Robinson,OLB,2012,0,0,0,1,11,,,,,,,,,,,,,,Texas
2012,5,141,Adam Gettis,G,2012,0,0,0,0,,,,,,,,,,,,,,,Iowa
2012,6,173,Alfred Morris,RB,2012,0,0,1,17,16,,,,,,335,1613,13,11,77,0,,,Florida Atlantic
2012,6,193,Tom Compton,T,2012,0,0,0,0,,,,,,,,,,,,,,,South Dakota
2012,7,213,Richard Crawford,DB,2012,0,0,0,1,9,,,,,,,,,,,,1,,SMU
2012,7,217,Jordan Bernstine,CB,2012,0,0,0,0,1,,,,,,,,,,,,,,Iowa
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,16,Ryan Kerrigan,DE,2012,0,0,2,14,32,,,,,,,,,,,,2,16.0,Purdue
2011,2,41,Jarvis Jenkins,DL,2012,0,0,1,5,16,,,,,,,,,,,,,,Clemson
2011,3,79,Leonard Hankerson,WR,2012,0,0,0,7,20,,,,,,2,5,0,51,706,3,,,Miami (FL)
2011,4,105,Roy Helu,RB,2012,0,0,0,6,18,,,,,,153,642,2,56,424,1,,,Nebraska
2011,5,146,Dejon Gomes,DB,2012,0,0,0,4,30,,,,,,,,,,,,1,,Nebraska
2011,5,155,Niles Paul,WR,2012,0,0,0,3,29,,,,,,2,6,0,10,177,1,,,Nebraska
2011,6,177,Evan Royster,RB,2012,0,0,0,4,22,,,,,,79,416,2,25,185,0,,,Penn St.
2011,6,178,Aldrick Robinson,WR,2012,0,0,0,3,15,,,,,,1,14,0,11,237,3,,,SMU
2011,7,213,Brandyn Thompson,DB,2011,0,0,0,1,6,,,,,,,,,,,,,,Boise St.
2011,7,217,Maurice Hurt,OL,2012,0,0,0,3,21,,,,,,,,,,,,,,Central Florida
2011,7,224,Markus White,DE,2012,0,0,0,0,4,,,,,,,,,,,,,,Florida St.
2011,7,253,Chris Neild,NT,2012,0,0,0,1,16,,,,,,,,,,,,,2.0,West Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,4,Trent Williams,T,2012,0,1,2,18,40,,,,,,,,,,,,,,Oklahoma
2010,4,103,Perry Riley,LB,2012,0,0,1,12,40,,,,,,,,,,,,,4.5,LSU
2010,6,174,Dennis Morris,RB,,0,0,0,,,,,,,,,,,,,,,,Louisiana Tech
2010,7,219,Terrence Austin,WR,2011,0,0,0,1,18,,,,,,,,,15,184,0,,,UCLA
2010,7,229,Eric Cook,C,,0,0,0,,,,,,,,,,,,,,,,New Mexico
