Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,3,89,Akiem Hicks,DE,2012,0,0,0,1,14,,,,,,,,,,,,,,
2012,4,122,Nick Toon,WR,2012,0,0,0,0,,,,,,,,,,,,,,,Wisconsin
2012,5,162,Corey White,SS,2012,0,0,0,2,10,,,,,,,,,,,,1,,Samford
2012,6,179,Andrew Tiller,G,2012,0,0,0,0,,,,,,,,,,,,,,,Syracuse
2012,7,234,Marcel Jones,T,2012,0,0,0,0,,,,,,,,,,,,,,,Nebraska
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,24,Cameron Jordan,DE,2012,0,0,2,14,32,,,,,,,,,,,,,9.0,California
2011,1,28,Mark Ingram,RB,2012,0,0,0,8,26,,,,,,278,1076,10,17,75,0,,,Alabama
2011,3,72,Martez Wilson,OLB,2012,0,0,0,2,28,,,,,,,,,,,,,4.0,East. Illinois
2011,3,88,Johnny Patrick,DB,2012,0,0,0,2,24,,,,,,,,,,,,,,Louisville
2011,7,226,Greg Romeus,DL,2012,0,0,0,0,0,,,,,,,,,,,,,,Pittsburgh
2011,7,243,Nate Bussey,LB,2011,0,0,0,0,0,,,,,,,,,,,,,,East. Illinois
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,32,Patrick Robinson,DB,2012,0,0,1,12,42,,,,,,,,,,,,7,1.0,Florida St.
2010,2,64,Charles Brown,T,2012,0,0,0,5,21,,,,,,,,,,,,,,USC
