Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,15,Bruce Irvin,DE,2012,0,0,0,3,16,,,,,,,,,,,,,8.0,West Virginia
2012,2,47,Bobby Wagner,ILB,2012,0,0,1,10,16,,,,,,,,,,,,3,2.0,Utah St.
2012,3,75,Russell Wilson,QB,2012,0,0,1,16,16,252,393,3118,26,10,94,489,4,,,,,,Wisconsin
2012,4,106,Robert Turbin,RB,2012,0,0,0,5,16,,,,,,80,354,0,19,181,0,,,Utah St.
2012,4,114,Jaye Howard,DT,2012,0,0,0,0,2,,,,,,,,,,,,,,Florida
2012,5,154,Korey Toomer,ILB,,0,0,0,,,,,,,,,,,,,,,,Idaho
2012,6,172,Jeremy Lane,CB,2012,0,0,0,2,13,,,,,,,,,,,,,,
2012,6,181,Winston Guy,DB,2012,0,0,0,0,2,,,,,,,,,,,,,,Kentucky
2012,7,225,J R Sweezy,DE,,0,0,0,,,,,,,,,,,,,,,,North Carolina St.
2012,7,232,Greg Scruggs,DE,2012,0,0,0,1,10,,,,,,,,,,,,,2.0,Louisville
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,25,James Carpenter,OL,2012,0,0,0,6,16,,,,,,,,,,,,,,Alabama
2011,3,75,John Moffitt,G,2012,0,0,1,6,17,,,,,,,,,,,,,,Wisc-Eau Claire
2011,4,99,K.J. Wright,LB,2012,0,0,2,16,31,,,,,,,,,,,,1,3.0,Mississippi St.
2011,4,107,Kris Durham,WR,2012,0,0,0,1,7,,,,,,,,,11,155,1,,,Georgia
2011,5,154,Richard Sherman,DB,2012,1,0,2,24,32,,,,,,,,,,,,12,1.0,Stanford
2011,5,156,Mark LeGree,FS,2011,0,0,0,0,0,,,,,,,,,,,,,,Appalachian St.
2011,6,173,Byron Maxwell,DB,2012,0,0,0,2,18,,,,,,,,,,,,,,Clemson
2011,7,205,Lazarius Levingston,DL,2012,0,0,0,0,3,,,,,,,,,,,,,,LSU
2011,7,242,Malcolm Smith,OLB,2012,0,0,0,4,28,,,,,,,,,,,,,1.0,USC
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,6,Russell Okung,T,2012,0,1,3,16,37,,,,,,,,,,,,,,Oklahoma St.
2010,1,14,Earl Thomas,DB,2012,1,2,3,32,48,,,,,,,,,,,,10,,Texas
2010,2,60,Golden Tate,WR,2012,0,0,1,13,42,1,1,23,1,0,10,38,0,101,1297,10,,,Notre Dame
2010,4,111,Walter Thurmond,DB,2012,0,0,0,2,22,,,,,,,,,,,,,,Oregon
2010,4,127,E.J. Wilson,DE,2011,0,0,0,0,2,,,,,,,,,,,,,,North Carolina
2010,5,133,Kam Chancellor,DB,2012,0,1,2,16,47,,,,,,,,,,,,4,2.0,Virginia Tech
2010,6,185,Anthony McCoy,TE,2012,0,0,0,8,34,,,,,,,,,31,437,3,,,USC
2010,7,236,Dexter Davis,LB,2012,0,0,0,1,16,,,,,,,,,,,,,1.0,Arizona St.
2010,7,245,Jameson Konz,TE,2011,0,0,0,0,1,,,,,,,,,,,,,,Kent St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,4,Aaron Curry,LB,2012,0,0,3,24,48,,,,,,,,,,,,,5.5,Wake Forest
2009,2,49,Max Unger,C,2012,1,1,3,23,48,,,,,,,,,,,,,,Oregon
2009,3,91,Deon Butler,WR,2012,0,0,1,4,35,,,,,,2,6,0,57,611,4,,,Penn St.
2009,6,178,Mike Teel,QB,,0,0,0,,,,,,,,,,,,,,,,Rutgers
2009,7,245,Courtney Greene,DB,2011,0,0,1,5,30,,,,,,,,,,,,1,,Rutgers
2009,7,247,Nick Reed,DE,2011,0,0,0,4,26,,,,,,,,,,,,,1.0,Oregon
2009,7,248,Cameron Morrah,TE,2012,0,0,0,3,27,,,,,,1,1,0,16,194,0,,,California
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,28,Lawrence Jackson,DE,2012,0,0,2,15,69,,,,,,,,,,,,,19.5,USC
2008,2,38,John Carlson,TE,2012,0,0,3,18,61,,,,,,,,,145,1562,13,,,Notre Dame
2008,4,121,Red Bryant,DT,2012,0,0,2,20,49,,,,,,,,,,,,2,2.0,Texas A&M
2008,5,163,Owen Schmitt,FB,2012,0,0,0,4,73,,,,,,11,28,0,34,218,2,,,West Virginia
2008,6,189,Tyler Schmitt,LB,,0,0,0,,,,,,,,,,,,,,,,San Diego St.
2008,7,233,Justin Forsett,RB,2012,0,0,0,15,78,,,,,,341,1661,8,100,768,1,,,California
2008,7,235,Brandon Coutu,K,2011,0,0,0,0,1,,,,,,,,,,,,,,Georgia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,2,55,Josh Wilson,DB,2012,0,0,5,29,86,,,,,,,,,,,,13,3.0,Maryland
2007,3,85,Brandon Mebane,DT,2012,0,0,6,39,91,,,,,,,,,,,,,13.0,California
2007,4,120,Baraka Atkins,DE,2008,0,0,0,2,21,,,,,,,,,,,,,2.0,Miami (FL)
2007,4,124,Mansfield Wrotto,G,2011,0,0,1,8,27,,,,,,,,,,,,,,Georgia Tech
2007,5,161,Will Herring,LB,2012,0,0,0,7,81,,,,,,,,,,,,2,1.0,Auburn
2007,6,197,Courtney Taylor,WR,2008,0,0,0,1,18,,,,,,,,,14,136,0,,,Auburn
2007,6,210,Jordan Kent,WR,2009,0,0,0,0,14,,,,,,,,,1,5,0,,,Oregon
2007,7,232,Steve Vallos,G,2012,0,0,0,4,42,,,,,,,,,,,,,,Wake Forest
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,1,31,Kelly Jennings,DB,2011,0,0,2,19,91,,,,,,,,,,,,2,1.0,Miami (FL)
2006,2,63,Darryl Tapp,DE,2012,0,0,2,25,103,,,,,,,,,,,,2,24.0,Virginia Tech
2006,4,128,Rob Sims,G,2012,0,0,5,30,92,,,,,,,,,,,,,,Ohio St.
2006,5,163,David Kirtman,RB,2008,0,0,0,0,6,,,,,,,,,,,,,,USC
2006,7,239,Ryan Plackemeier,P,2008,0,0,3,0,43,,,,,,1,0,0,,,,,,Wake Forest
2006,7,249,Ben Obomanu,WR,2012,0,0,0,10,66,,,,,,4,41,0,87,1209,7,,,Auburn
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,26,Chris Spencer,C,2012,0,0,6,29,108,,,,,,,,,,,,,,Mississippi
2005,2,45,Lofa Tatupu,LB,2010,1,3,5,48,84,,,,,,,,,,,,10,8.5,USC
2005,3,85,David Greene,QB,,0,0,0,,,,,,,,,,,,,,,,Georgia
