Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,24,David DeCastro,G,2012,0,0,0,1,4,,,,,,,,,,,,,,Stanford
2012,2,56,Mike Adams,T,2012,0,0,0,3,10,,,,,,,,,,,,,,Ohio St.
2012,3,86,Sean Spence,LB,2012,0,0,0,0,,,,,,,,,,,,,,,Miami (FL)
2012,4,109,Alameda Ta'amu,DT,2012,0,0,0,,,,,,,,,,,,,,,,Washington
2012,5,159,Chris Rainey,RB,2012,0,0,0,1,16,,,,,,26,102,2,14,60,0,,,Florida
2012,7,231,Toney Clemons,WR,2012,0,0,0,0,4,,,,,,,,,3,41,0,,,Colorado
2012,7,240,David Paulson,TE,2012,0,0,0,2,16,,,,,,,,,7,51,0,,,Oregon
2012,7,246,Terrence Frederick,CB,2012,0,0,0,0,1,,,,,,,,,,,,,,Texas A&M
2012,7,248,Kelvin Beachum,T,2012,0,0,0,2,8,,,,,,,,,,,,,,SMU
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,31,Cam Heyward,DT,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
2011,2,63,Marcus Gilbert,OL,2012,0,0,1,8,19,,,,,,,,,,,,,,Central Florida
2011,3,95,Curtis Brown,DB,2012,0,0,0,2,27,,,,,,,,,,,,,,North Texas
2011,4,128,Cortez Allen,DB,2012,0,0,0,5,30,,,,,,,,,,,,2,,Citadel
2011,5,162,Chris Carter,DL,2012,0,0,0,3,16,,,,,,,,,,,,,,Fresno St.
2011,6,196,Keith Williams,OL,2012,0,0,0,0,13,,,,,,,,,,,,,,Nebraska
2011,7,232,Baron Batch,RB,2012,0,0,0,1,12,,,,,,25,49,1,4,31,0,,,Texas Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,18,Maurkice Pouncey,C,2012,1,3,3,29,45,,,,,,,,,,,,,,Florida
2010,2,52,Jason Worilds,DE,2012,0,0,0,10,42,,,,,,,,,,,,,10.0,Virginia Tech
2010,3,82,Emmanuel Sanders,WR,2012,0,0,0,10,40,1,1,15,0,0,1,4,0,94,1290,5,,,SMU
2010,4,116,Thaddeus Gibson,DE,2012,0,0,0,0,4,,,,,,,,,,,,,,Ohio St.
2010,5,151,Chris Scott,G,2012,0,0,0,0,2,,,,,,,,,,,,,,Tennessee
2010,5,164,Crezdon Butler,DB,2012,0,0,0,0,11,,,,,,,,,,,,,,Clemson
2010,5,166,Stevenson Sylvester,LB,2012,0,0,0,4,41,,,,,,,,,,,,,,Utah
2010,6,188,Jonathan Dwyer,RB,2012,0,0,0,6,21,,,,,,181,774,2,19,112,0,,,Georgia Tech
2010,6,195,Antonio Brown,WR,2012,0,1,1,17,22,0,2,0,0,1,14,65,0,151,2062,7,,,Central Michigan
2010,7,242,Doug Worthington,DT,2012,0,0,0,0,6,,,,,,,,,,,,,,Ohio St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,32,Evander Hood,DE,2012,0,0,2,24,64,,,,,,,,,,,,,8.5,Missouri
2009,3,79,Kraig Urbik,T,2012,0,0,1,13,37,,,,,,,,,,,,,,Wisconsin
2009,3,84,Mike Wallace,WR,2012,0,1,3,33,63,,,,,,20,151,0,235,4042,32,,,Mississippi
2009,3,96,Keenan Lewis,DB,2012,0,0,1,11,45,,,,,,,,,,,,1,,Oregon St.
2009,5,168,Joe Burnett,DB,2009,0,0,0,1,15,,,,,,,,,,,,,,Central Florida
2009,5,169,Frank Summers,RB,2011,0,0,0,0,2,,,,,,,,,,,,,,UNLV
2009,6,205,RaShon Harris,DT,2011,0,0,0,0,2,,,,,,,,,,,,,,Oregon
2009,7,226,A.Q. Shipley,C,2012,0,0,0,2,13,,,,,,,,,,,,,,Penn St.
2009,7,241,David Johnson,TE,2011,0,0,1,6,47,,,,,,,,,18,146,1,,,Arkansas St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,23,Rashard Mendenhall,RB,2012,0,0,3,26,57,,,,,,864,3549,29,77,661,2,,,Illinois
2008,2,53,Limas Sweed,WR,2009,0,0,0,1,20,,,,,,,,,7,69,0,,,Texas
2008,3,88,Bruce Davis,LB,2011,0,0,0,0,15,,,,,,,,,,,,,,UCLA
2008,4,130,Tony Hills,T,2012,0,0,0,1,8,,,,,,,,,,,,,,Texas
2008,5,156,Dennis Dixon,QB,2012,0,0,0,2,4,35,59,402,1,2,10,56,1,,,,,,Oregon
2008,6,188,Mike Humpal,LB,,0,0,0,,,,,,,,,,,,,,,,Iowa
2008,6,194,Ryan Mundy,DB,2012,0,0,0,8,64,,,,,,,,,1,33,0,1,,West Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,15,Lawrence Timmons,LB,2012,0,0,4,41,94,,,,,,,,,,,,7,23.0,Florida St.
2007,2,46,LaMarr Woodley,DE,2012,0,1,5,50,83,,,,,,,,,,,,5,52.0,Michigan
2007,3,77,Matt Spaeth,TE,2012,0,0,4,12,91,,,,,,,,,49,353,8,,,Minnesota
2007,4,112,Daniel Sepulveda,P,2011,0,0,3,0,52,2,2,65,0,0,,,,,,,,,Baylor
2007,4,132,Ryan McBean,DT,2012,0,0,1,11,47,,,,,,,,,,,,,4.0,Oklahoma St.
2007,5,156,Cameron Stephenson,G,,0,0,0,,,,,,,,,,,,,,,,Rutgers
2007,5,170,William Gay,DB,2012,0,0,3,25,96,,,,,,,,,,,,5,4.0,Louisville
2007,7,227,Dallas Baker,WR,2008,0,0,0,0,8,,,,,,,,,1,6,0,,,Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
