Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,26,Whitney Mercilus,DE,2012,0,0,0,3,16,,,,,,,,,,,,,6.0,Illinois
2012,3,68,DeVier Posey,WR,2012,0,0,0,1,11,,,,,,1,-3,0,6,87,0,,,Ohio St.
2012,3,76,Brandon Brooks,G,2012,0,0,0,0,5,,,,,,,,,,,,,,Miami (OH)
2012,4,99,Ben Jones,C,2012,0,0,0,4,15,,,,,,,,,,,,,,Georgia
2012,4,121,Keshawn Martin,WR,2012,0,0,0,1,16,,,,,,4,53,0,10,85,1,,,Michigan St.
2012,4,126,Jared Crick,DT,2012,0,0,0,2,15,,,,,,,,,,,,,,Nebraska
2012,5,161,Randy Bullock,K,2012,0,0,0,0,,,,,,,,,,,,,,,Texas A&M
2012,6,195,Nick Mondek,T,2012,0,0,0,0,,,,,,,,,,,,,,,Purdue
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,11,J.J. Watt,DE,2012,1,1,2,30,32,,,,,,,,,,,,,26.0,Wisconsin
2011,2,42,Brooks Reed,DL,2012,0,0,2,13,28,,,,,,,,,,,,,8.5,Arizona
2011,2,60,Brandon Harris,DB,2012,0,0,0,1,15,,,,,,,,,,,,,,Miami (FL)
2011,4,127,Rashad Carmichael,DB,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
2011,5,144,Shiloh Keo,DB,2012,0,0,0,2,26,,,,,,,,,,,,1,,Col. of Idaho
2011,5,152,T.J. Yates,QB,2012,0,0,0,3,10,86,144,987,3,4,16,56,1,,,,,,North Carolina
