Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,20,Kendall Wright,WR,2012,0,0,0,5,15,,,,,,1,4,0,64,626,4,,,Baylor
2012,2,52,Zach Brown,OLB,2012,0,0,1,7,16,,,,,,,,,,,,3,5.5,North Carolina
2012,3,82,Mike Martin,DT,2012,0,0,0,2,15,,,,,,,,,,,,,3.0,Michigan
2012,4,115,Coty Sensabaugh,CB,2012,0,0,0,2,16,,,,,,,,,,,,,,Clemson
2012,5,145,Taylor Thompson,TE,2012,0,0,0,2,16,,,,,,,,,6,46,0,,,SMU
2012,6,190,Markelle Martin,FS,2012,0,0,0,1,14,,,,,,,,,,,,,,Oklahoma St.
2012,7,211,Scott Solomon,DE,2012,0,0,0,1,13,,,,,,,,,,,,,,Rice
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,8,Jake Locker,QB,2012,0,0,1,8,16,211,380,2718,14,11,49,347,2,,,,,,Washington
2011,2,39,Akeem Ayers,LB,2012,0,0,2,14,32,,,,,,,,,,,,1,8.0,UCLA
2011,3,77,Jurrell Casey,DL,2012,0,0,2,14,32,,,,,,,,,,,,,5.5,USC
2011,4,109,Colin McCarthy,LB,2012,0,0,1,8,20,,,,,,,,,,,,2,,Miami (FL)
2011,4,130,Jamie Harper,RB,2012,0,0,0,0,23,,,,,,36,74,4,5,40,0,,,Clemson
2011,5,142,Karl Klug,DL,2012,0,0,0,4,31,,,,,,,,,,,,,10.5,Iowa
2011,6,175,Byron Stingily,T,2012,0,0,0,1,5,,,,,,,,,,,,,,Louisville
2011,7,212,Zach Clayton,DT,2012,0,0,0,0,3,,,,,,,,,,,,,,Auburn
2011,7,251,Tommie Campbell,DB,2012,0,0,0,4,29,,,,,,,,,,,,,,California (PA)
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,1,16,Derrick Morgan,DE,2012,0,0,1,11,35,,,,,,,,,,,,,10.5,Georgia Tech
2010,3,77,Damian Williams,WR,2012,0,0,1,8,44,,,,,,1,5,0,91,1135,5,,,USC
2010,3,97,Rennie Curran,LB,2010,0,0,0,1,9,,,,,,,,,,,,,,Georgia
2010,4,104,Alterraun Verner,DB,2012,0,0,2,13,48,,,,,,,,,,,,6,,UCLA
2010,5,148,Robert Johnson,DB,2012,0,0,0,2,15,,,,,,,,,,,,1,,Utah
2010,6,176,Rusty Smith,QB,2012,0,0,0,1,4,23,45,234,0,4,,,,,,,,,Florida Atlantic
2010,6,207,Myron Rolle,DB,,0,0,0,,,,,,,,,,,,,,,,Florida St.
2010,7,222,Marc Mariani,WR,2012,0,1,0,3,32,,,,,,1,4,0,5,24,0,,,Montana
2010,7,241,David Howard,DT,,0,0,0,,,,,,,,,,,,,,,,Brown
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,30,Kenny Britt,WR,2012,0,0,2,20,45,,,,,,,,,146,2354,19,,,Rutgers
2009,2,62,SenDerrick Marks,DT,2012,0,0,1,12,51,,,,,,,,,,,,1,3.0,Auburn
2009,3,89,Jared Cook,TE,2012,0,0,0,18,59,,,,,,,,,131,1717,8,,,South Carolina
2009,3,94,Ryan Mouton,DB,2012,0,0,0,3,36,,,,,,,,,,,,,,Hawaii
2009,4,130,Gerald McRath,LB,2012,0,0,1,8,40,,,,,,,,,,,,1,1.5,Southern Miss
2009,4,135,Troy Kropog,T,2012,0,0,0,0,7,,,,,,,,,,,,,,Tulane
2009,5,173,Javon Ringer,RB,2012,0,0,0,4,37,,,,,,120,486,3,38,243,0,,,Michigan St.
2009,6,203,Jason McCourty,DB,2012,0,0,2,17,58,,,,,,,,,,,,8,1.0,Rutgers
2009,6,206,Dominique Edison,WR,2009,0,0,0,0,5,,,,,,,,,,,,,,S.F. Austin
2009,7,239,Ryan Durand,G,2011,0,0,0,0,1,,,,,,,,,,,,,,Syracuse
2009,7,242,Nick Schommer,DB,2010,0,0,0,1,13,,,,,,,,,,,,,,North Dakota St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,24,Chris Johnson,RB,2012,1,3,5,56,79,0,1,0,0,0,1463,6888,44,230,1658,4,,,East Carolina
2008,2,54,Jason Jones,DE,2012,0,0,2,19,61,,,,,,,,,,,,,18.5,East. Michigan
2008,3,85,Craig Stevens,TE,2012,0,0,3,11,73,,,,,,,,,44,572,4,,,California
2008,4,103,William Hayes,DE,2012,0,0,1,12,64,,,,,,,,,,,,,15.0,Winston-Salem St.
2008,4,126,Lavelle Hawkins,WR,2012,0,0,0,7,52,,,,,,,,,71,771,1,,,California
2008,4,134,Stanford Keglar,LB,2010,0,0,0,2,35,,,,,,,,,,,,,,Purdue
2008,7,229,Cary Williams,DB,2012,0,0,2,17,55,,,,,,,,,1,13,0,4,1.0,Washburn
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,19,Michael Griffin,DB,2012,0,1,6,40,96,,,,,,,,,,,,21,3.0,Texas
2007,2,50,Chris J. Henry,RB,2010,0,0,0,1,11,,,,,,32,122,2,6,53,0,,,Arizona
2007,3,80,Paul Williams,WR,2008,0,0,0,0,5,,,,,,,,,1,7,0,,,Fresno St.
2007,4,115,Leroy Harris,C,2012,0,0,3,16,75,,,,,,,,,,,,,,North Carolina St.
2007,4,128,Chris Davis,WR,2008,0,0,0,0,17,,,,,,2,19,0,7,69,0,,,Florida St.
