Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2012,1,4,Matt Kalil,T,2012,0,0,1,7,16,,,,,,,,,,,,,,USC
2012,1,29,Harrison Smith,FS,2012,0,0,1,7,16,,,,,,,,,,,,3,1.0,Notre Dame
2012,3,66,Josh Robinson,CB,2012,0,0,0,3,16,,,,,,,,,,,,2,,Central Florida
2012,4,118,Jarius Wright,WR,2012,0,0,0,3,7,,,,,,2,11,0,22,310,2,,,Arkansas
2012,4,128,Rhett Ellison,FB,2012,0,0,0,2,15,,,,,,,,,7,65,0,,,USC
2012,4,134,Greg Childs,WR,2012,0,0,0,0,,,,,,,,,,,,,,,Arkansas
2012,5,139,Robert Blanton,CB,2012,0,0,0,1,12,,,,,,,,,,,,,,Notre Dame
2012,6,175,Blair Walsh,K,2012,1,1,0,0,16,,,,,,,,,,,,,,Georgia
2012,7,210,Audie Cole,ILB,2012,0,0,0,0,5,,,,,,,,,,,,,,North Carolina St.
2012,7,219,Trevor Guyton,DE,,0,0,0,,,,,,,,,,,,,,,,California
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2011,1,12,Christian Ponder,QB,2012,0,0,2,16,27,458,774,4788,31,25,88,472,2,1,-15,0,,,Florida St.
2011,2,43,Kyle Rudolph,TE,2012,0,0,1,11,31,,,,,,,,,79,742,12,,,Notre Dame
2011,4,106,Christian Ballard,DL,2012,0,0,0,3,31,,,,,,,,,,,,,1.0,Iowa
2011,5,139,Brandon Burton,DB,2012,0,0,0,1,14,,,,,,,,,,,,,,Southern Utah
2011,6,168,Demarcus Love,OL,2012,0,0,0,0,0,,,,,,,,,,,,,,Arkansas
2011,6,170,Mistral Raymond,DB,2012,0,0,0,3,20,,,,,,,,,,,,1,,South Florida
2011,6,172,Brandon Fusco,OL,2012,0,0,1,6,19,,,,,,,,,,,,,,Slippery Rock
2011,6,200,Ross Homan,LB,,0,0,0,,,,,,,,,,,,,,,,Ohio St.
2011,7,215,D'Aundre Reed,DL,2012,0,0,0,,4,,,,,,,,,,,,,,Arizona
2011,7,236,Stephen Burton,WR,2012,0,0,0,0,15,,,,,,,,,7,73,1,,,West Texas A&M
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,2,34,Chris Cook,DB,2012,0,0,1,6,22,,,,,,,,,,,,,1.0,Virginia
2010,2,51,Toby Gerhart,RB,2012,0,0,0,11,47,,,,,,240,1022,3,64,512,3,,,Stanford
2010,4,100,Everson Griffen,DE,2012,0,0,0,5,43,,,,,,,,,,,,1,12.0,USC
2010,5,161,Chris DeGeare,G,2012,0,0,0,2,8,,,,,,,,,,,,,,Wake Forest
2010,5,167,Nathan Triplett,LB,2011,0,0,0,0,5,,,,,,,,,,,,,,Minnesota
2010,6,199,Joe Webb,WR,2012,0,0,0,4,17,88,152,853,3,5,41,273,4,1,9,0,,,Ala-Birmingham
2010,7,214,Mickey Shuler,TE,2012,0,0,0,1,6,,,,,,,,,2,44,0,,,Penn St.
2010,7,237,Ryan D'Imperio,RB,2011,0,0,0,1,12,,,,,,,,,2,7,0,,,Rutgers
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,22,Percy Harvin,WR,2012,0,1,3,39,54,,,,,,107,683,4,280,3302,20,,,Florida
2009,2,54,Phil Loadholt,T,2012,0,0,4,27,63,,,,,,,,,,,,,,Oklahoma
2009,3,86,Asher Allen,DB,2011,0,0,2,9,36,,,,,,,,,,,,4,1.0,Georgia
2009,5,150,Jasper Brinkley,LB,2012,0,0,1,10,48,,,,,,,,,,,,,,South Carolina
2009,7,231,Jamarca Sanford,DB,2012,0,0,2,12,57,,,,,,,,,,,,2,1.0,Mississippi
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,2,43,Tyrell Johnson,FS,2012,0,0,1,12,53,,,,,,,,,,,,2,,Arkansas St.
2008,5,137,John David Booty,QB,,0,0,0,,,,,,,,,,,,,,,,USC
2008,5,152,Letroy Guion,DT,2012,0,0,1,10,55,,,,,,,,,,,,,4.0,Florida St.
2008,6,187,John Sullivan,C,2012,0,0,4,23,77,,,,,,,,,,,,,,Notre Dame
2008,6,193,Jaymar Johnson,WR,2011,0,0,0,0,7,,,,,,,,,1,9,0,,,Jackson St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,7,Adrian Peterson,RB,2012,3,5,6,69,89,,,,,,1754,8849,76,177,1526,4,,,Oklahoma
2007,2,44,Sidney Rice,WR,2012,0,1,3,32,73,4,7,174,0,0,4,9,0,228,3361,27,,,South Carolina
